cell_id,Petroica macrocephala,Petroica macrocephala [macrocephala Group],Petroica macrocephala dannefaerdi
82ba27fffffffff,4.0,2.0,0.0
82bb0ffffffffff,1528.0,1051.0,0.0
82bb2ffffffffff,1875.0,1570.0,0.0
82bb37fffffffff,2.0,0.0,0.0
82bb57fffffffff,1159.0,656.0,0.0
82bb5ffffffffff,72.0,40.0,0.0
82bb77fffffffff,399.0,297.0,0.0
82d46ffffffffff,66.0,0.0,0.0
82da1ffffffffff,75.0,29.0,0.0
82da87fffffffff,2336.0,1248.0,0.0
82da8ffffffffff,1003.0,858.0,0.0
82da97fffffffff,1417.0,895.0,0.0
82daaffffffffff,803.0,366.0,20.0
82dab7fffffffff,51.0,31.0,0.0
