cell_id,Chalybura buffonii,Chalybura buffonii [buffonii Group],Chalybura buffonii caeruleogaster,Chalybura buffonii intermedia
836601fffffffff,27.0,0.0,0.0,0.0
836602fffffffff,5.0,0.0,0.0,0.0
836603fffffffff,1.0,0.0,0.0,0.0
836608fffffffff,357.0,4.0,0.0,0.0
836609fffffffff,8.0,0.0,0.0,0.0
83660afffffffff,372.0,10.0,0.0,0.0
83660bfffffffff,48.0,0.0,0.0,0.0
83660cfffffffff,123.0,0.0,0.0,0.0
83660dfffffffff,51.0,0.0,4.0,0.0
83660efffffffff,3.0,0.0,0.0,0.0
836610fffffffff,1137.0,60.0,0.0,0.0
836611fffffffff,13.0,0.0,0.0,0.0
836612fffffffff,47.0,0.0,0.0,0.0
836613fffffffff,185.0,34.0,0.0,0.0
836616fffffffff,588.0,44.0,0.0,0.0
836618fffffffff,119.0,5.0,0.0,0.0
836619fffffffff,1153.0,36.0,0.0,0.0
83661afffffffff,20.0,0.0,0.0,0.0
83661bfffffffff,323.0,3.0,0.0,0.0
83661cfffffffff,17.0,0.0,0.0,0.0
83661dfffffffff,24.0,6.0,0.0,0.0
83661efffffffff,18.0,0.0,0.0,0.0
836620fffffffff,914.0,61.0,0.0,0.0
836621fffffffff,186.0,0.0,0.0,0.0
836622fffffffff,1276.0,101.0,0.0,0.0
836623fffffffff,11.0,0.0,0.0,0.0
836629fffffffff,26.0,0.0,0.0,0.0
83662bfffffffff,43.0,0.0,0.0,0.0
83662cfffffffff,1.0,0.0,0.0,0.0
83662dfffffffff,9.0,0.0,0.0,0.0
83662efffffffff,84.0,0.0,0.0,0.0
836631fffffffff,8.0,0.0,0.0,0.0
836656fffffffff,130.0,0.0,15.0,0.0
836663fffffffff,2.0,0.0,0.0,0.0
836672fffffffff,2.0,0.0,0.0,0.0
8366a0fffffffff,715.0,32.0,0.0,0.0
8366a1fffffffff,5.0,0.0,0.0,0.0
8366a5fffffffff,3111.0,123.0,0.0,0.0
8366c0fffffffff,53.0,0.0,0.0,0.0
8366c4fffffffff,520.0,2.0,0.0,0.0
8366c6fffffffff,552.0,28.0,0.0,0.0
8366d5fffffffff,24.0,0.0,0.0,0.0
8366e0fffffffff,1110.0,2.0,47.0,0.0
8366e1fffffffff,5.0,0.0,0.0,0.0
8366e2fffffffff,217.0,2.0,0.0,0.0
8366e3fffffffff,67.0,0.0,34.0,0.0
8366e4fffffffff,1599.0,25.0,0.0,0.0
8366e5fffffffff,940.0,0.0,151.0,0.0
8366e6fffffffff,4252.0,23.0,0.0,0.0
8366ecfffffffff,2.0,0.0,0.0,0.0
8366f0fffffffff,44.0,0.0,0.0,0.0
8366f1fffffffff,124.0,0.0,0.0,0.0
8366f5fffffffff,446.0,11.0,0.0,0.0
836741fffffffff,158.0,0.0,0.0,0.0
836742fffffffff,319.0,0.0,0.0,0.0
836743fffffffff,453.0,6.0,0.0,0.0
83674cfffffffff,656.0,19.0,0.0,0.0
83674efffffffff,157.0,0.0,0.0,0.0
836751fffffffff,106.0,0.0,0.0,0.0
836752fffffffff,2.0,0.0,0.0,0.0
836753fffffffff,31.0,0.0,0.0,0.0
836755fffffffff,6.0,0.0,0.0,0.0
836758fffffffff,8.0,0.0,0.0,0.0
83675afffffffff,82.0,2.0,0.0,0.0
83675cfffffffff,164.0,0.0,0.0,0.0
83675dfffffffff,4.0,0.0,0.0,0.0
83675efffffffff,70.0,0.0,0.0,0.0
838f0dfffffffff,255.0,0.0,0.0,76.0
838f72fffffffff,4.0,0.0,0.0,1.0
838f76fffffffff,1.0,0.0,0.0,0.0
