cell_id,Aerodramus brevirostris,Aerodramus brevirostris brevirostris/innominatus,Aerodramus brevirostris rogersi
823087fffffffff,3.0,0.0,0.0
82309ffffffffff,16.0,0.0,0.0
8230a7fffffffff,2.0,0.0,0.0
82318ffffffffff,7.0,0.0,0.0
823c07fffffffff,54.0,20.0,0.0
823c0ffffffffff,14.0,12.0,0.0
823c17fffffffff,1.0,1.0,0.0
823c1ffffffffff,33.0,20.0,0.0
823c37fffffffff,3.0,3.0,0.0
823c57fffffffff,16.0,16.0,0.0
823c5ffffffffff,28.0,24.0,0.0
823c87fffffffff,1.0,0.0,0.0
823c97fffffffff,2.0,0.0,0.0
823cc7fffffffff,7.0,0.0,0.0
823ccffffffffff,2.0,2.0,0.0
823cd7fffffffff,46.0,0.0,0.0
823cdffffffffff,4.0,0.0,0.0
823ce7fffffffff,30.0,2.0,0.0
823ceffffffffff,23.0,12.0,0.0
823cf7fffffffff,1.0,0.0,0.0
823d07fffffffff,8.0,0.0,0.0
823d17fffffffff,38.0,33.0,0.0
823d1ffffffffff,9.0,7.0,0.0
823d37fffffffff,5.0,5.0,0.0
823daffffffffff,35.0,35.0,0.0
82402ffffffffff,2.0,0.0,0.0
8240c7fffffffff,1.0,1.0,0.0
8240e7fffffffff,15.0,15.0,0.0
8240effffffffff,28.0,28.0,0.0
82411ffffffffff,10.0,0.0,0.0
82414ffffffffff,4.0,0.0,0.0
824177fffffffff,2.0,0.0,0.0
824197fffffffff,2.0,0.0,0.0
8241b7fffffffff,7.0,0.0,0.0
824b37fffffffff,3.0,0.0,0.0
826417fffffffff,2.0,0.0,0.0
826437fffffffff,5.0,0.0,0.0
826487fffffffff,38.0,0.0,0.0
82648ffffffffff,2.0,2.0,0.0
826497fffffffff,80.0,0.0,0.0
82649ffffffffff,1.0,1.0,0.0
8264a7fffffffff,5.0,0.0,0.0
8264b7fffffffff,4.0,0.0,0.0
826507fffffffff,4.0,0.0,0.0
82651ffffffffff,5.0,0.0,0.0
826587fffffffff,9.0,0.0,7.0
82658ffffffffff,2.0,0.0,0.0
826597fffffffff,1.0,0.0,1.0
82659ffffffffff,1.0,1.0,0.0
8265b7fffffffff,1.0,0.0,0.0
