cell_id,Catharus fuscater,Catharus fuscater hellmayri,Catharus fuscater [fuscater Group]
84660ddffffffff,6.0,0.0,0.0
8466131ffffffff,4.0,0.0,0.0
8466187ffffffff,1.0,0.0,0.0
846622bffffffff,6.0,5.0,1.0
8466b41ffffffff,5.0,0.0,0.0
8466b45ffffffff,6.0,0.0,0.0
8466b4dffffffff,16.0,4.0,0.0
8466b5bffffffff,1.0,1.0,0.0
8466e65ffffffff,2.0,0.0,0.0
8466e6dffffffff,2.0,0.0,0.0
84675e3ffffffff,3.0,0.0,0.0
84675ebffffffff,3.0,0.0,0.0
846d691ffffffff,2.0,0.0,0.0
846d693ffffffff,2.0,0.0,0.0
846d69bffffffff,2.0,2.0,0.0
846d69dffffffff,48.0,40.0,0.0
848b617ffffffff,4.0,0.0,4.0
848b665ffffffff,2.0,0.0,0.0
848b6cdffffffff,1.0,0.0,0.0
848f50dffffffff,2.0,0.0,0.0
848f547ffffffff,3.0,0.0,0.0
848f765ffffffff,2.0,0.0,2.0
