cell_id,Ortalis guttata,Ortalis guttata guttata/subaffinis,Ortalis guttata remota
836609fffffffff,9.0,0.0,0.0
83660bfffffffff,10.0,0.0,0.0
83660dfffffffff,2.0,0.0,0.0
836641fffffffff,32.0,3.0,0.0
836644fffffffff,3.0,0.0,0.0
836650fffffffff,12.0,0.0,0.0
836652fffffffff,143.0,0.0,0.0
836653fffffffff,4.0,0.0,0.0
836654fffffffff,24.0,0.0,0.0
836656fffffffff,109.0,0.0,0.0
83665afffffffff,355.0,7.0,0.0
83665bfffffffff,163.0,0.0,0.0
83665efffffffff,152.0,0.0,0.0
836662fffffffff,1.0,0.0,0.0
836663fffffffff,3.0,0.0,0.0
836670fffffffff,2.0,0.0,0.0
836671fffffffff,7.0,0.0,0.0
836672fffffffff,113.0,0.0,0.0
836673fffffffff,2.0,0.0,0.0
8366c0fffffffff,419.0,0.0,0.0
8366c1fffffffff,27.0,0.0,0.0
8366c2fffffffff,2110.0,0.0,0.0
8366c3fffffffff,22.0,0.0,0.0
8366c5fffffffff,93.0,0.0,0.0
8366c6fffffffff,1.0,0.0,0.0
8366c9fffffffff,5.0,0.0,0.0
8366cbfffffffff,1.0,0.0,0.0
8366cdfffffffff,5.0,0.0,0.0
8366cefffffffff,150.0,0.0,0.0
8366d1fffffffff,132.0,3.0,0.0
8366d8fffffffff,175.0,9.0,0.0
8366dafffffffff,338.0,0.0,0.0
8366dbfffffffff,78.0,5.0,0.0
8366dcfffffffff,1960.0,144.0,0.0
8366ddfffffffff,115.0,9.0,0.0
8366defffffffff,1558.0,154.0,0.0
8366e0fffffffff,865.0,7.0,0.0
8366e1fffffffff,622.0,5.0,0.0
8366e3fffffffff,260.0,6.0,0.0
8366e5fffffffff,4410.0,13.0,0.0
8366e8fffffffff,20.0,0.0,0.0
8366e9fffffffff,14.0,0.0,0.0
8366eafffffffff,2.0,0.0,0.0
8366ecfffffffff,977.0,9.0,0.0
8366eefffffffff,618.0,0.0,0.0
838a00fffffffff,6.0,1.0,0.0
838a01fffffffff,8.0,0.0,0.0
838a04fffffffff,2.0,0.0,0.0
838a05fffffffff,33.0,15.0,0.0
838a10fffffffff,12.0,0.0,0.0
