cell_id,Zapornia pusilla,Zapornia pusilla intermedia,Zapornia pusilla pusilla,Zapornia pusilla [palustris Group]
8314a8fffffffff,1.0,0.0,0.0,0.0
8314aefffffffff,48.0,0.0,0.0,0.0
831592fffffffff,5.0,0.0,0.0,0.0
831e0efffffffff,6.0,0.0,0.0,0.0
831e1cfffffffff,4.0,0.0,0.0,0.0
831eabfffffffff,1.0,0.0,0.0,0.0
831ed9fffffffff,5.0,0.0,0.0,0.0
831ef2fffffffff,3.0,0.0,0.0,0.0
83200efffffffff,4.0,0.0,0.0,0.0
832400fffffffff,2.0,0.0,0.0,0.0
832405fffffffff,2.0,0.0,0.0,0.0
832428fffffffff,5.0,0.0,0.0,0.0
83242dfffffffff,1.0,0.0,0.0,0.0
832431fffffffff,3.0,0.0,0.0,0.0
83244cfffffffff,3.0,0.0,0.0,0.0
832460fffffffff,6.0,0.0,0.0,0.0
832466fffffffff,3.0,0.0,0.0,0.0
832513fffffffff,8.0,0.0,0.0,0.0
832540fffffffff,13.0,0.0,3.0,0.0
832c2afffffffff,3.0,0.0,0.0,0.0
832c93fffffffff,8.0,0.0,0.0,0.0
832da6fffffffff,1.0,0.0,0.0,0.0
832da8fffffffff,1.0,0.0,0.0,0.0
832db0fffffffff,43.0,0.0,0.0,0.0
832db1fffffffff,5.0,0.0,0.0,0.0
832db2fffffffff,11.0,0.0,0.0,0.0
832db3fffffffff,2.0,0.0,0.0,0.0
832db6fffffffff,3.0,0.0,0.0,0.0
832ecbfffffffff,2.0,0.0,0.0,0.0
833030fffffffff,8.0,0.0,1.0,0.0
83309afffffffff,4.0,0.0,4.0,0.0
83316cfffffffff,1.0,0.0,0.0,0.0
833185fffffffff,1.0,0.0,0.0,0.0
8331aafffffffff,32.0,0.0,2.0,0.0
833945fffffffff,4.0,0.0,0.0,0.0
833946fffffffff,2.0,0.0,0.0,0.0
833954fffffffff,2.0,0.0,0.0,0.0
833973fffffffff,3.0,0.0,0.0,0.0
833c36fffffffff,1.0,0.0,0.0,0.0
833c5afffffffff,5.0,0.0,0.0,0.0
833c8efffffffff,6.0,0.0,0.0,0.0
833c94fffffffff,7.0,0.0,0.0,0.0
833c9cfffffffff,1.0,0.0,0.0,0.0
833c9dfffffffff,42.0,0.0,0.0,0.0
833cb1fffffffff,16.0,0.0,0.0,0.0
833cc0fffffffff,1.0,0.0,0.0,0.0
833cc6fffffffff,5.0,0.0,0.0,0.0
833ce3fffffffff,2.0,0.0,0.0,0.0
833cf0fffffffff,1.0,0.0,0.0,0.0
833cf1fffffffff,10.0,0.0,0.0,0.0
833cf2fffffffff,257.0,0.0,0.0,0.0
833cf6fffffffff,29.0,0.0,0.0,0.0
833d00fffffffff,5.0,0.0,0.0,0.0
833d34fffffffff,2.0,0.0,0.0,0.0
833d85fffffffff,3.0,0.0,0.0,0.0
833d89fffffffff,3.0,0.0,0.0,0.0
833d8bfffffffff,2.0,0.0,0.0,0.0
833d8cfffffffff,4.0,0.0,0.0,0.0
833d8dfffffffff,2.0,0.0,0.0,0.0
833da1fffffffff,93.0,0.0,0.0,0.0
833da3fffffffff,19.0,0.0,0.0,0.0
833da6fffffffff,2.0,0.0,0.0,0.0
833db0fffffffff,1.0,0.0,0.0,0.0
833db2fffffffff,11.0,0.0,0.0,0.0
833db6fffffffff,4.0,0.0,0.0,0.0
833e68fffffffff,33.0,0.0,0.0,0.0
833e6cfffffffff,5.0,0.0,0.0,0.0
833f4dfffffffff,12.0,0.0,0.0,0.0
83411cfffffffff,16.0,0.0,0.0,0.0
8341a0fffffffff,2.0,0.0,0.0,0.0
8341a5fffffffff,7.0,0.0,0.0,0.0
8341b4fffffffff,29.0,0.0,0.0,0.0
8341b5fffffffff,1.0,0.0,1.0,0.0
834249fffffffff,4.0,0.0,0.0,0.0
834254fffffffff,1.0,0.0,0.0,0.0
834269fffffffff,15.0,0.0,0.0,0.0
8342c0fffffffff,23.0,0.0,0.0,0.0
8342c2fffffffff,69.0,0.0,0.0,0.0
8342c3fffffffff,8.0,0.0,0.0,0.0
8342c4fffffffff,2.0,0.0,0.0,0.0
8342c5fffffffff,2.0,0.0,0.0,0.0
8342c6fffffffff,16.0,0.0,0.0,0.0
8342cafffffffff,6.0,0.0,0.0,0.0
8342ccfffffffff,10.0,0.0,0.0,0.0
8342cefffffffff,232.0,0.0,0.0,0.0
8342d1fffffffff,14.0,0.0,0.0,0.0
8342d9fffffffff,2.0,0.0,0.0,0.0
8342dbfffffffff,98.0,0.0,0.0,0.0
8342dcfffffffff,61.0,0.0,0.0,0.0
8342ddfffffffff,46.0,0.0,0.0,0.0
8342eafffffffff,4.0,0.0,0.0,0.0
834388fffffffff,2.0,0.0,0.0,0.0
83438cfffffffff,6.0,0.0,0.0,0.0
8343a0fffffffff,2.0,0.0,0.0,0.0
8343aefffffffff,10.0,0.0,0.0,0.0
834b84fffffffff,1.0,0.0,0.0,0.0
834b86fffffffff,9.0,0.0,1.0,0.0
