cell_id,Colaptes rupicola,Colaptes rupicola cinereicapillus,Colaptes rupicola rupicola/puna
838b20fffffffff,27.0,0.0,0.0
838b21fffffffff,34.0,0.0,5.0
838b24fffffffff,4.0,0.0,0.0
838b25fffffffff,25.0,0.0,2.0
838b2cfffffffff,129.0,0.0,0.0
838b2dfffffffff,2.0,0.0,1.0
838b60fffffffff,68.0,0.0,0.0
838b61fffffffff,2207.0,0.0,82.0
838b63fffffffff,2.0,0.0,0.0
838b64fffffffff,39.0,0.0,0.0
838b65fffffffff,32.0,0.0,0.0
838b66fffffffff,13.0,0.0,0.0
838b6cfffffffff,63.0,0.0,3.0
838b75fffffffff,1.0,0.0,0.0
838e60fffffffff,106.0,0.0,0.0
838e61fffffffff,44.0,0.0,0.0
838e62fffffffff,11.0,0.0,0.0
838e63fffffffff,4.0,0.0,0.0
838e64fffffffff,153.0,0.0,0.0
838e65fffffffff,61.0,0.0,0.0
838e66fffffffff,444.0,0.0,0.0
838e68fffffffff,24.0,0.0,0.0
838e69fffffffff,24.0,0.0,0.0
838e6afffffffff,14.0,0.0,0.0
838e6cfffffffff,59.0,0.0,0.0
838e6dfffffffff,262.0,0.0,2.0
838e6efffffffff,43.0,0.0,0.0
838f42fffffffff,66.0,10.0,0.0
838f46fffffffff,5.0,0.0,0.0
838f4afffffffff,8.0,0.0,0.0
838f50fffffffff,15.0,0.0,0.0
838f51fffffffff,436.0,0.0,0.0
838f54fffffffff,90.0,0.0,0.0
838f55fffffffff,250.0,2.0,0.0
838f58fffffffff,171.0,0.0,0.0
838f59fffffffff,147.0,5.0,0.0
838f5bfffffffff,13.0,0.0,0.0
838f5cfffffffff,45.0,0.0,0.0
838f5dfffffffff,19.0,0.0,0.0
838f5efffffffff,11.0,0.0,0.0
838f72fffffffff,8.0,0.0,0.0
83b22dfffffffff,1.0,0.0,0.0
83b270fffffffff,1.0,0.0,0.0
83b274fffffffff,107.0,0.0,0.0
83b301fffffffff,13.0,0.0,0.0
83b304fffffffff,8.0,0.0,0.0
83b305fffffffff,591.0,0.0,2.0
83b308fffffffff,3.0,0.0,0.0
83b30cfffffffff,2.0,0.0,0.0
83b30dfffffffff,5.0,0.0,0.0
83b320fffffffff,181.0,0.0,1.0
83b321fffffffff,207.0,0.0,4.0
83b322fffffffff,22.0,0.0,0.0
83b323fffffffff,92.0,0.0,0.0
83b324fffffffff,64.0,0.0,1.0
83b325fffffffff,38.0,0.0,0.0
83b326fffffffff,101.0,0.0,0.0
83b328fffffffff,3.0,0.0,0.0
83b32afffffffff,14.0,0.0,0.0
83b32cfffffffff,53.0,0.0,1.0
83b32dfffffffff,14.0,0.0,0.0
83b32efffffffff,2.0,0.0,0.0
83b330fffffffff,2.0,0.0,0.0
83b334fffffffff,76.0,0.0,0.0
83b335fffffffff,78.0,0.0,0.0
83b342fffffffff,55.0,0.0,0.0
83b346fffffffff,24.0,0.0,0.0
83b350fffffffff,1.0,0.0,0.0
83b351fffffffff,37.0,0.0,0.0
83b353fffffffff,10.0,0.0,0.0
83b354fffffffff,83.0,0.0,0.0
83b355fffffffff,99.0,0.0,0.0
83b356fffffffff,4.0,0.0,0.0
83b35afffffffff,146.0,0.0,0.0
83b35efffffffff,239.0,0.0,0.0
83b372fffffffff,3.0,0.0,0.0
83b373fffffffff,207.0,0.0,0.0
