cell_id,Clibanornis rubiginosus,Clibanornis rubiginosus [rubiginosus Group],Clibanornis rubiginosus [nigricauda Group],Clibanornis rubiginosus cinnamomeigula,Clibanornis rubiginosus [obscurus Group],Clibanornis rubiginosus watkinsi
824527fffffffff,218.0,9.0,0.0,0.0,0.0,0.0
824537fffffffff,110.0,0.0,0.0,0.0,0.0,0.0
824997fffffffff,71.0,11.0,0.0,0.0,0.0,0.0
82499ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8249b7fffffffff,68.0,0.0,0.0,0.0,0.0,0.0
825f07fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
825f77fffffffff,7.0,0.0,0.0,0.0,0.0,0.0
82660ffffffffff,61.0,0.0,0.0,0.0,0.0,0.0
826617fffffffff,32.0,0.0,0.0,0.0,0.0,0.0
82661ffffffffff,484.0,0.0,0.0,0.0,0.0,0.0
82666ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8266a7fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8266b7fffffffff,680.0,0.0,0.0,0.0,0.0,0.0
8266d7fffffffff,483.0,0.0,40.0,0.0,0.0,0.0
8266dffffffffff,114.0,0.0,0.0,0.0,6.0,0.0
8266e7fffffffff,93.0,0.0,0.0,0.0,0.0,0.0
8266f7fffffffff,164.0,0.0,0.0,0.0,0.0,0.0
826d07fffffffff,30.0,0.0,0.0,0.0,0.0,0.0
826d17fffffffff,135.0,9.0,0.0,0.0,0.0,0.0
826d27fffffffff,19.0,2.0,0.0,0.0,0.0,0.0
826d2ffffffffff,3191.0,797.0,0.0,0.0,0.0,0.0
826d37fffffffff,75.0,5.0,0.0,0.0,0.0,0.0
826d67fffffffff,40.0,0.0,0.0,0.0,0.0,0.0
828a47fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
828a6ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0
828af7fffffffff,57.0,0.0,0.0,0.0,0.0,0.0
828b47fffffffff,29.0,0.0,0.0,0.0,0.0,2.0
828b4ffffffffff,5.0,0.0,0.0,0.0,0.0,0.0
828b67fffffffff,49.0,0.0,0.0,0.0,0.0,4.0
828b6ffffffffff,9.0,0.0,0.0,0.0,0.0,0.0
828b77fffffffff,8.0,0.0,0.0,0.0,0.0,0.0
828f2ffffffffff,14.0,0.0,1.0,0.0,0.0,0.0
828f47fffffffff,18.0,0.0,0.0,0.0,0.0,0.0
828f4ffffffffff,4.0,0.0,0.0,0.0,0.0,0.0
828f77fffffffff,38.0,0.0,0.0,0.0,10.0,0.0
