cell_id,Aerodramus fuciphagus,Aerodramus fuciphagus germani/amechanus,Aerodramus fuciphagus [fuciphagus Group]
834149fffffffff,4.0,4.0,0.0
834168fffffffff,3.0,3.0,0.0
8364a5fffffffff,2.0,2.0,0.0
8364b2fffffffff,11.0,11.0,0.0
8364b5fffffffff,6.0,6.0,0.0
8364b6fffffffff,82.0,82.0,0.0
8364e4fffffffff,5.0,0.0,5.0
836500fffffffff,50.0,48.0,0.0
836501fffffffff,20.0,20.0,0.0
836502fffffffff,11.0,11.0,0.0
836503fffffffff,83.0,83.0,0.0
836505fffffffff,16.0,16.0,0.0
83650dfffffffff,5.0,0.0,5.0
83650efffffffff,8.0,8.0,0.0
836518fffffffff,165.0,165.0,0.0
836519fffffffff,19.0,19.0,0.0
83651cfffffffff,37.0,37.0,0.0
83651dfffffffff,535.0,535.0,0.0
836520fffffffff,2.0,2.0,0.0
836522fffffffff,4.0,4.0,0.0
836523fffffffff,10.0,10.0,0.0
836580fffffffff,4.0,4.0,0.0
836585fffffffff,1.0,1.0,0.0
83658bfffffffff,1.0,1.0,0.0
836590fffffffff,3.0,3.0,0.0
836802fffffffff,1.0,1.0,0.0
836818fffffffff,1.0,0.0,1.0
83681cfffffffff,2.0,2.0,0.0
836828fffffffff,6.0,5.0,0.0
836856fffffffff,12.0,10.0,0.0
836858fffffffff,5.0,5.0,0.0
836870fffffffff,2.0,2.0,0.0
8368d0fffffffff,1.0,0.0,1.0
839415fffffffff,12.0,0.0,10.0
83942cfffffffff,2.0,0.0,0.0
839450fffffffff,3.0,0.0,0.0
8395a4fffffffff,1.0,0.0,0.0
