cell_id,Staphida castaniceps,Staphida castaniceps [striata Group],Staphida castaniceps castaniceps
833c0afffffffff,1.0,0.0,0.0
833c0bfffffffff,27.0,0.0,0.0
833c43fffffffff,8.0,0.0,0.0
833c53fffffffff,28.0,0.0,0.0
833c58fffffffff,456.0,0.0,0.0
833c59fffffffff,19.0,0.0,0.0
833c5bfffffffff,134.0,0.0,0.0
833c5cfffffffff,31.0,0.0,0.0
833c5efffffffff,12.0,0.0,0.0
833cc0fffffffff,21.0,0.0,0.0
833cc1fffffffff,2.0,0.0,0.0
833cc3fffffffff,30.0,0.0,0.0
833cd8fffffffff,9.0,0.0,0.0
833cdbfffffffff,3.0,0.0,0.0
833ce3fffffffff,13.0,0.0,0.0
833ce4fffffffff,27.0,0.0,0.0
833ce5fffffffff,292.0,0.0,0.0
833ce8fffffffff,28.0,0.0,0.0
833ce9fffffffff,3.0,0.0,0.0
833ceafffffffff,4.0,0.0,0.0
833cedfffffffff,1.0,0.0,0.0
833ceefffffffff,3.0,0.0,0.0
83404cfffffffff,65.0,1.0,0.0
83404dfffffffff,129.0,1.0,0.0
83404efffffffff,8.0,0.0,0.0
834059fffffffff,2.0,0.0,0.0
834061fffffffff,6.0,0.0,0.0
834065fffffffff,11.0,0.0,0.0
83406bfffffffff,13.0,0.0,0.0
836416fffffffff,68.0,0.0,0.0
836480fffffffff,3.0,0.0,0.0
836482fffffffff,204.0,0.0,0.0
836484fffffffff,7.0,0.0,0.0
836490fffffffff,4.0,0.0,0.0
836491fffffffff,96.0,0.0,0.0
836494fffffffff,11.0,0.0,0.0
8364a3fffffffff,54.0,0.0,0.0
