cell_id,Dicaeum hirundinaceum,Dicaeum hirundinaceum hirundinaceum,Dicaeum hirundinaceum ignicolle
8494187ffffffff,24.0,0.0,0.0
8494191ffffffff,1.0,0.0,0.0
849419dffffffff,3.0,0.0,0.0
84941a1ffffffff,6.0,0.0,0.0
84941b1ffffffff,2.0,0.0,0.0
84941b7ffffffff,1.0,0.0,0.0
84941bdffffffff,67.0,0.0,0.0
849442bffffffff,1.0,0.0,0.0
84944bdffffffff,2.0,0.0,0.0
8494501ffffffff,11.0,0.0,0.0
8494503ffffffff,20.0,0.0,0.0
8494507ffffffff,28.0,0.0,0.0
849450bffffffff,33.0,0.0,0.0
8494511ffffffff,234.0,0.0,0.0
8494513ffffffff,5.0,0.0,0.0
8494515ffffffff,37.0,0.0,0.0
8494517ffffffff,59.0,0.0,0.0
849451bffffffff,2.0,0.0,0.0
849451dffffffff,663.0,0.0,0.0
8494531ffffffff,2.0,0.0,0.0
8494533ffffffff,9.0,0.0,0.0
8494535ffffffff,7.0,0.0,0.0
8494539ffffffff,81.0,0.0,0.0
849453bffffffff,4.0,0.0,0.0
8494551ffffffff,1.0,0.0,0.0
8494559ffffffff,31.0,0.0,0.0
849458dffffffff,22.0,0.0,0.0
8494593ffffffff,12.0,0.0,0.0
84945a5ffffffff,82.0,0.0,0.0
84945a7ffffffff,16.0,0.0,0.0
84945adffffffff,47.0,0.0,0.0
84945bbffffffff,6.0,0.0,0.0
84945c3ffffffff,147.0,0.0,0.0
84945c5ffffffff,11.0,0.0,0.0
84945c7ffffffff,224.0,0.0,0.0
84945cbffffffff,4.0,0.0,0.0
84945d7ffffffff,2.0,0.0,0.0
84945e1ffffffff,14.0,0.0,0.0
84945e3ffffffff,52.0,0.0,0.0
84945e5ffffffff,31.0,0.0,0.0
84945e7ffffffff,5.0,0.0,0.0
84945ebffffffff,133.0,0.0,0.0
8494801ffffffff,43.0,0.0,0.0
8494803ffffffff,703.0,0.0,0.0
8494807ffffffff,16.0,0.0,0.0
849480bffffffff,244.0,0.0,0.0
8494811ffffffff,5.0,0.0,0.0
8494815ffffffff,4.0,0.0,0.0
849481bffffffff,1.0,0.0,0.0
849481dffffffff,32.0,0.0,0.0
8494825ffffffff,10.0,0.0,0.0
849482bffffffff,23.0,0.0,0.0
849483bffffffff,3.0,0.0,0.0
8494855ffffffff,16.0,0.0,0.0
849485bffffffff,18.0,0.0,0.0
8494893ffffffff,2.0,0.0,0.0
8494899ffffffff,3.0,0.0,0.0
84948c9ffffffff,4.0,0.0,0.0
84948cdffffffff,4.0,0.0,0.0
84948d1ffffffff,2.0,0.0,0.0
84948d9ffffffff,20.0,0.0,0.0
84948edffffffff,9.0,0.0,0.0
8494911ffffffff,2.0,0.0,0.0
8494a85ffffffff,6.0,0.0,0.0
8494a93ffffffff,8.0,0.0,0.0
8494aa7ffffffff,18.0,0.0,0.0
8494aadffffffff,4.0,0.0,0.0
8494ab3ffffffff,2.0,0.0,0.0
8494ab7ffffffff,2.0,0.0,0.0
8494ad3ffffffff,3.0,0.0,0.0
8494ad7ffffffff,3.0,0.0,0.0
8494ae3ffffffff,87.0,0.0,0.0
8494ae7ffffffff,13.0,0.0,0.0
8494c49ffffffff,42.0,0.0,0.0
8494c5bffffffff,2.0,0.0,0.0
8494c61ffffffff,3.0,0.0,0.0
8494c91ffffffff,4.0,0.0,0.0
8494c99ffffffff,12.0,0.0,0.0
8494cc9ffffffff,2.0,0.0,0.0
8494ccdffffffff,3.0,0.0,0.0
8494d45ffffffff,2.0,0.0,0.0
8494d5dffffffff,6.0,0.0,0.0
8494e21ffffffff,21.0,0.0,0.0
8494e23ffffffff,9.0,0.0,0.0
8494e25ffffffff,2.0,0.0,0.0
8494e27ffffffff,5.0,0.0,0.0
8494e29ffffffff,32.0,0.0,0.0
8494e2bffffffff,6.0,0.0,0.0
8494e2dffffffff,2.0,0.0,0.0
8494e31ffffffff,2.0,0.0,0.0
8494e35ffffffff,76.0,0.0,0.0
8494e3dffffffff,19.0,0.0,0.0
8494e81ffffffff,26.0,0.0,0.0
8494e83ffffffff,2.0,0.0,0.0
8494e85ffffffff,11.0,0.0,0.0
8494e87ffffffff,34.0,0.0,0.0
8494e95ffffffff,2.0,0.0,0.0
8494e9dffffffff,2.0,0.0,0.0
8494ea1ffffffff,3.0,0.0,0.0
8494ea9ffffffff,2.0,0.0,0.0
8494eb5ffffffff,2.0,0.0,0.0
8494ed1ffffffff,8.0,0.0,0.0
8494ed3ffffffff,97.0,0.0,0.0
8494ed5ffffffff,2.0,0.0,0.0
8494ed7ffffffff,18.0,0.0,0.0
8494ed9ffffffff,3.0,0.0,0.0
8494edbffffffff,86.0,0.0,0.0
8494ee1ffffffff,2.0,0.0,0.0
8494ee3ffffffff,4.0,0.0,0.0
8494ee7ffffffff,24.0,0.0,0.0
8494f0dffffffff,7.0,0.0,0.0
8494f21ffffffff,39.0,0.0,0.0
8494f29ffffffff,2.0,0.0,0.0
8494f33ffffffff,2.0,0.0,0.0
8494f47ffffffff,4.0,0.0,0.0
8494f4bffffffff,4.0,0.0,0.0
8494f5dffffffff,10.0,0.0,0.0
8494f61ffffffff,5.0,0.0,0.0
8494f63ffffffff,22.0,0.0,0.0
8494f65ffffffff,29.0,0.0,0.0
8494f6bffffffff,7.0,0.0,0.0
8494f6dffffffff,2.0,0.0,0.0
849c003ffffffff,4.0,0.0,0.0
849c009ffffffff,105.0,0.0,0.0
849c00bffffffff,35.0,0.0,0.0
849c011ffffffff,8.0,0.0,0.0
849c013ffffffff,2.0,0.0,0.0
849c015ffffffff,4.0,0.0,0.0
849c017ffffffff,40.0,0.0,0.0
849c019ffffffff,5.0,0.0,0.0
849c01dffffffff,3.0,0.0,0.0
849c051ffffffff,2.0,0.0,0.0
849c055ffffffff,33.0,0.0,0.0
849c059ffffffff,54.0,0.0,0.0
849c05dffffffff,392.0,0.0,0.0
849c0a5ffffffff,1.0,0.0,0.0
849c0adffffffff,2.0,0.0,0.0
849c0cdffffffff,4.0,0.0,0.0
849c0e1ffffffff,2.0,0.0,0.0
849c0e5ffffffff,2.0,0.0,0.0
849c0e9ffffffff,70.0,0.0,0.0
849c0edffffffff,32.0,0.0,0.0
849c191ffffffff,551.0,0.0,0.0
849c199ffffffff,8.0,0.0,0.0
849c19bffffffff,7.0,0.0,0.0
849c19dffffffff,86.0,0.0,0.0
849c203ffffffff,141.0,0.0,0.0
849c207ffffffff,18.0,0.0,0.0
849c20bffffffff,28.0,0.0,0.0
849c211ffffffff,2.0,0.0,0.0
849c215ffffffff,162.0,0.0,0.0
849c217ffffffff,2.0,0.0,0.0
849c21bffffffff,32.0,0.0,0.0
849c231ffffffff,1619.0,0.0,0.0
849c233ffffffff,61.0,0.0,0.0
849c237ffffffff,1563.0,0.0,0.0
849c239ffffffff,522.0,0.0,0.0
849c23bffffffff,202.0,0.0,0.0
849c23dffffffff,13.0,0.0,0.0
849c251ffffffff,82.0,0.0,0.0
849c255ffffffff,21.0,0.0,0.0
849c257ffffffff,18.0,0.0,0.0
849c259ffffffff,57.0,0.0,0.0
849c25dffffffff,14.0,0.0,0.0
849c2cbffffffff,2.0,0.0,0.0
849c2cdffffffff,5.0,0.0,0.0
849c2d3ffffffff,1.0,0.0,0.0
849c2ddffffffff,26.0,0.0,0.0
849c2e1ffffffff,5.0,0.0,0.0
849c2e9ffffffff,1.0,0.0,0.0
849c403ffffffff,2.0,0.0,0.0
849c40bffffffff,1.0,0.0,0.0
849c417ffffffff,12.0,0.0,0.0
849c431ffffffff,2.0,0.0,0.0
849c43bffffffff,1.0,0.0,0.0
849c443ffffffff,2.0,0.0,0.0
849c44bffffffff,3.0,0.0,0.0
849c45dffffffff,4.0,0.0,0.0
849c487ffffffff,2.0,0.0,0.0
849c491ffffffff,2.0,0.0,0.0
849c499ffffffff,4.0,0.0,0.0
849c4a1ffffffff,2.0,0.0,0.0
849c4a5ffffffff,1.0,0.0,0.0
849c4b3ffffffff,24.0,0.0,0.0
849c4bdffffffff,2.0,0.0,0.0
849c4cdffffffff,1.0,0.0,0.0
849c4d3ffffffff,9.0,0.0,0.0
