cell_id,Coeligena torquata,Coeligena torquata [torquata Group],Coeligena torquata eisenmanni
82660ffffffffff,298.0,6.0,0.0
82661ffffffffff,5488.0,401.0,0.0
8266c7fffffffff,1000.0,6.0,0.0
8266d7fffffffff,3734.0,436.0,0.0
8266dffffffffff,4575.0,709.0,0.0
8266e7fffffffff,8527.0,345.0,0.0
8266f7fffffffff,624.0,7.0,0.0
828b67fffffffff,14.0,0.0,0.0
828b6ffffffffff,17.0,0.0,9.0
828e67fffffffff,237.0,0.0,0.0
828e6ffffffffff,10.0,0.0,0.0
828f2ffffffffff,131.0,4.0,0.0
828f47fffffffff,51.0,0.0,0.0
828f4ffffffffff,2.0,0.0,0.0
828f57fffffffff,208.0,14.0,0.0
828f5ffffffffff,89.0,0.0,0.0
828f77fffffffff,1903.0,240.0,0.0
