cell_id,Ducula chalconota,Ducula chalconota chalconota,Ducula chalconota smaragdina
837289fffffffff,1.0,0.0,0.0
83728bfffffffff,8.0,0.0,0.0
8372a2fffffffff,64.0,0.0,0.0
8372dafffffffff,53.0,0.0,0.0
8372dbfffffffff,16.0,0.0,0.0
8372defffffffff,3.0,0.0,0.0
83739bfffffffff,1.0,0.0,0.0
839c85fffffffff,6.0,0.0,0.0
839c8afffffffff,6.0,0.0,0.0
839c8bfffffffff,12.0,0.0,0.0
839c8efffffffff,2.0,0.0,0.0
839c9cfffffffff,1.0,0.0,0.0
839c9dfffffffff,24.0,0.0,0.0
839caefffffffff,2.0,0.0,0.0
839cd2fffffffff,2.0,0.0,0.0
