cell_id,Anarhynchus nivosus,Anarhynchus nivosus nivosus,Anarhynchus nivosus occidentalis
84125adffffffff,1.0,0.0,0.0
8412c21ffffffff,4.0,0.0,0.0
8412cc9ffffffff,8.0,0.0,0.0
8412d17ffffffff,8.0,0.0,0.0
8412ec1ffffffff,2.0,0.0,0.0
8413829ffffffff,1.0,0.0,0.0
8426013ffffffff,1.0,0.0,0.0
8426021ffffffff,2.0,0.0,0.0
842603dffffffff,4.0,0.0,0.0
84260b9ffffffff,4.0,0.0,0.0
84260d1ffffffff,3.0,0.0,0.0
84260d9ffffffff,1.0,0.0,0.0
8426199ffffffff,2.0,0.0,0.0
842619dffffffff,1.0,0.0,0.0
84261b3ffffffff,2.0,0.0,0.0
84261b7ffffffff,2.0,0.0,0.0
84261dbffffffff,1.0,0.0,0.0
8426205ffffffff,4.0,0.0,0.0
8426293ffffffff,2.0,0.0,0.0
842644dffffffff,1.0,0.0,0.0
8426463ffffffff,2.0,0.0,0.0
842646bffffffff,6.0,0.0,0.0
84264e7ffffffff,2.0,0.0,0.0
8426521ffffffff,4.0,0.0,0.0
842652bffffffff,2.0,0.0,0.0
842652dffffffff,4.0,0.0,0.0
8426555ffffffff,8.0,0.0,0.0
84265b9ffffffff,7.0,0.0,0.0
84265dbffffffff,2.0,0.0,0.0
8426649ffffffff,10.0,0.0,0.0
842664dffffffff,97.0,0.0,0.0
8426713ffffffff,4.0,0.0,0.0
8426719ffffffff,4.0,0.0,0.0
8426745ffffffff,2.0,0.0,0.0
842681bffffffff,11.0,0.0,0.0
8426851ffffffff,2.0,0.0,0.0
842688bffffffff,2.0,0.0,0.0
84268a1ffffffff,5.0,0.0,0.0
84268a3ffffffff,32.0,0.0,0.0
84268b3ffffffff,1.0,0.0,0.0
84268c3ffffffff,2.0,0.0,0.0
84268c7ffffffff,16.0,0.0,0.0
84268cdffffffff,8.0,0.0,0.0
84268d3ffffffff,39.0,0.0,0.0
84268d7ffffffff,39.0,0.0,0.0
84268e1ffffffff,28.0,0.0,0.0
8426929ffffffff,4.0,0.0,0.0
8426961ffffffff,45.0,0.0,0.0
8426969ffffffff,24.0,0.0,0.0
8426987ffffffff,2.0,0.0,0.0
8426989ffffffff,4.0,2.0,0.0
84269a9ffffffff,2.0,0.0,0.0
84269c1ffffffff,7.0,0.0,0.0
84269c3ffffffff,2.0,0.0,0.0
84269cbffffffff,2.0,0.0,0.0
84269cdffffffff,7.0,0.0,0.0
8426a29ffffffff,2.0,0.0,0.0
8426a37ffffffff,7.0,0.0,0.0
8426a87ffffffff,8.0,0.0,0.0
8426a8bffffffff,7.0,0.0,0.0
8426aa5ffffffff,37.0,0.0,0.0
8426aabffffffff,4.0,0.0,0.0
8426aadffffffff,8.0,0.0,0.0
8426ae9ffffffff,2.0,0.0,0.0
8426c11ffffffff,7.0,0.0,0.0
8426c13ffffffff,3.0,0.0,0.0
8426c37ffffffff,5.0,0.0,0.0
8426c43ffffffff,1.0,0.0,0.0
8426c4dffffffff,5.0,0.0,0.0
8426c83ffffffff,2.0,0.0,0.0
8426c87ffffffff,7.0,0.0,0.0
8426c89ffffffff,28.0,0.0,0.0
8426c9dffffffff,2.0,0.0,0.0
8426ca5ffffffff,2.0,0.0,0.0
8426cb9ffffffff,2.0,0.0,0.0
8426cbdffffffff,21.0,0.0,0.0
8426d1bffffffff,2.0,0.0,0.0
8426d2bffffffff,3.0,0.0,0.0
8426d35ffffffff,4.0,0.0,0.0
8426d39ffffffff,2.0,0.0,0.0
8426d8bffffffff,11.0,0.0,0.0
8426d99ffffffff,2.0,0.0,0.0
8426d9dffffffff,7.0,0.0,0.0
8426da3ffffffff,2.0,0.0,0.0
8426da7ffffffff,1.0,0.0,0.0
8426dadffffffff,7.0,0.0,0.0
8426dcbffffffff,1.0,0.0,0.0
8426dd5ffffffff,4.0,0.0,0.0
8426dd7ffffffff,21.0,0.0,0.0
8426dd9ffffffff,16.0,0.0,0.0
8426ddbffffffff,30.0,2.0,0.0
8426de7ffffffff,5.0,0.0,0.0
8426e21ffffffff,71.0,2.0,0.0
