cell_id,Buteogallus urubitinga,Buteogallus urubitinga ridgwayi,Buteogallus urubitinga urubitinga
824427fffffffff,5.0,0.0,0.0
824507fffffffff,81.0,0.0,0.0
82450ffffffffff,581.0,30.0,0.0
82451ffffffffff,2.0,0.0,0.0
824527fffffffff,496.0,0.0,0.0
82452ffffffffff,3056.0,3.0,0.0
824537fffffffff,159.0,0.0,0.0
824577fffffffff,44.0,0.0,0.0
824807fffffffff,3.0,0.0,0.0
82480ffffffffff,3.0,0.0,0.0
824817fffffffff,2.0,0.0,0.0
82481ffffffffff,4.0,0.0,0.0
824837fffffffff,623.0,6.0,0.0
82498ffffffffff,2.0,0.0,0.0
824997fffffffff,256.0,5.0,0.0
82499ffffffffff,38.0,0.0,0.0
8249affffffffff,10.0,0.0,0.0
8249b7fffffffff,11.0,0.0,0.0
825f07fffffffff,39.0,0.0,0.0
825f0ffffffffff,200.0,0.0,0.0
825f17fffffffff,42.0,0.0,0.0
825f1ffffffffff,25.0,0.0,0.0
825f27fffffffff,5.0,0.0,0.0
825f2ffffffffff,616.0,0.0,0.0
825f37fffffffff,1.0,0.0,0.0
825f47fffffffff,17.0,0.0,0.0
825f4ffffffffff,44.0,0.0,0.0
825f57fffffffff,2.0,0.0,0.0
825f5ffffffffff,374.0,0.0,0.0
825f6ffffffffff,20.0,0.0,0.0
825f77fffffffff,16.0,0.0,0.0
826607fffffffff,218.0,0.0,0.0
82660ffffffffff,166.0,0.0,0.0
826617fffffffff,558.0,0.0,0.0
82661ffffffffff,56.0,0.0,0.0
826627fffffffff,234.0,0.0,4.0
82662ffffffffff,52.0,0.0,0.0
826637fffffffff,29.0,0.0,0.0
826647fffffffff,296.0,0.0,1.0
82664ffffffffff,2.0,0.0,0.0
826657fffffffff,213.0,0.0,0.0
82665ffffffffff,22.0,0.0,0.0
826667fffffffff,45.0,0.0,0.0
82666ffffffffff,22.0,0.0,0.0
826677fffffffff,223.0,0.0,0.0
8266a7fffffffff,820.0,0.0,0.0
8266affffffffff,2.0,0.0,0.0
8266b7fffffffff,444.0,0.0,0.0
8266c7fffffffff,33.0,0.0,0.0
8266cffffffffff,16.0,0.0,0.0
8266d7fffffffff,9.0,0.0,0.0
8266dffffffffff,196.0,0.0,5.0
8266e7fffffffff,58.0,0.0,0.0
8266effffffffff,89.0,0.0,0.0
8266f7fffffffff,2.0,0.0,0.0
826747fffffffff,94.0,0.0,0.0
82674ffffffffff,211.0,0.0,2.0
826757fffffffff,323.0,0.0,0.0
82675ffffffffff,175.0,0.0,0.0
82678ffffffffff,2.0,0.0,0.0
826797fffffffff,17.0,0.0,0.0
82679ffffffffff,102.0,0.0,0.0
8267b7fffffffff,5.0,0.0,0.0
826d07fffffffff,112.0,9.0,0.0
826d17fffffffff,46.0,6.0,0.0
826d27fffffffff,148.0,2.0,0.0
826d2ffffffffff,297.0,3.0,0.0
826d37fffffffff,1689.0,14.0,0.0
826d67fffffffff,148.0,0.0,0.0
826d6ffffffffff,1183.0,0.0,0.0
826d77fffffffff,54.0,0.0,0.0
82800ffffffffff,3.0,0.0,0.0
828047fffffffff,12.0,0.0,0.0
82804ffffffffff,12.0,0.0,0.0
828057fffffffff,7.0,0.0,0.0
828067fffffffff,4.0,0.0,0.0
82806ffffffffff,19.0,0.0,0.0
828077fffffffff,4.0,0.0,0.0
828127fffffffff,4.0,0.0,0.0
828137fffffffff,10.0,0.0,1.0
828147fffffffff,13.0,0.0,6.0
82814ffffffffff,63.0,0.0,1.0
82815ffffffffff,14.0,0.0,0.0
828167fffffffff,82.0,0.0,10.0
828177fffffffff,8.0,0.0,0.0
828187fffffffff,13.0,0.0,0.0
82818ffffffffff,4.0,0.0,0.0
82819ffffffffff,2.0,0.0,0.0
8281a7fffffffff,1.0,0.0,0.0
828a07fffffffff,30.0,0.0,0.0
828a17fffffffff,36.0,0.0,0.0
828a27fffffffff,7.0,0.0,1.0
828a37fffffffff,29.0,0.0,2.0
828a47fffffffff,239.0,0.0,1.0
828a4ffffffffff,6.0,0.0,0.0
828a57fffffffff,39.0,0.0,0.0
828a6ffffffffff,425.0,0.0,0.0
828a77fffffffff,14.0,0.0,0.0
828a87fffffffff,13.0,0.0,0.0
828a8ffffffffff,25.0,0.0,0.0
828a97fffffffff,6.0,0.0,2.0
828a9ffffffffff,19.0,0.0,0.0
828aaffffffffff,71.0,0.0,1.0
828ab7fffffffff,3.0,0.0,0.0
828ac7fffffffff,6.0,0.0,0.0
828adffffffffff,40.0,0.0,1.0
828ae7fffffffff,4.0,0.0,0.0
828aeffffffffff,2.0,0.0,0.0
828af7fffffffff,223.0,0.0,11.0
828b07fffffffff,26.0,0.0,0.0
828b0ffffffffff,163.0,0.0,2.0
828b17fffffffff,5.0,0.0,0.0
828b1ffffffffff,7.0,0.0,0.0
828b27fffffffff,63.0,0.0,0.0
828b2ffffffffff,170.0,0.0,0.0
828b37fffffffff,64.0,0.0,0.0
828b47fffffffff,307.0,0.0,0.0
828b4ffffffffff,5.0,0.0,1.0
828b57fffffffff,13.0,0.0,2.0
828b5ffffffffff,13.0,0.0,0.0
828b67fffffffff,387.0,0.0,0.0
828b6ffffffffff,61.0,0.0,0.0
828b77fffffffff,94.0,0.0,0.0
828b87fffffffff,19.0,0.0,0.0
828b8ffffffffff,12.0,0.0,0.0
828b9ffffffffff,507.0,0.0,21.0
828ba7fffffffff,45.0,0.0,0.0
828bb7fffffffff,2.0,0.0,0.0
828e67fffffffff,8.0,0.0,0.0
828f0ffffffffff,134.0,0.0,0.0
828f2ffffffffff,111.0,0.0,0.0
828f47fffffffff,44.0,0.0,0.0
828f4ffffffffff,46.0,0.0,0.0
828f57fffffffff,12.0,0.0,0.0
828f5ffffffffff,2.0,0.0,0.0
828f67fffffffff,259.0,0.0,0.0
828f6ffffffffff,238.0,0.0,0.0
828f77fffffffff,7.0,0.0,0.0
82a807fffffffff,25.0,0.0,1.0
82a80ffffffffff,2.0,0.0,0.0
82a817fffffffff,51.0,0.0,2.0
82a81ffffffffff,113.0,0.0,0.0
82a827fffffffff,20.0,0.0,0.0
82a82ffffffffff,17.0,0.0,0.0
82a837fffffffff,35.0,0.0,0.0
82a847fffffffff,614.0,0.0,39.0
82a84ffffffffff,23.0,0.0,0.0
82a857fffffffff,3.0,0.0,0.0
82a85ffffffffff,3392.0,0.0,130.0
82a867fffffffff,68.0,0.0,0.0
82a86ffffffffff,49.0,0.0,0.0
82a877fffffffff,4.0,0.0,0.0
82a887fffffffff,8.0,0.0,0.0
82a88ffffffffff,4.0,0.0,1.0
82a8a7fffffffff,54.0,0.0,0.0
82a8affffffffff,57.0,0.0,4.0
82a8c7fffffffff,10.0,0.0,0.0
82a8cffffffffff,26.0,0.0,7.0
82a8d7fffffffff,14.0,0.0,0.0
82a8dffffffffff,1.0,0.0,0.0
82a8effffffffff,1.0,0.0,0.0
82a8f7fffffffff,7.0,0.0,0.0
82a907fffffffff,31.0,0.0,9.0
82a90ffffffffff,22.0,0.0,2.0
82a91ffffffffff,20.0,0.0,1.0
82a927fffffffff,6.0,0.0,0.0
82a92ffffffffff,58.0,0.0,1.0
82a947fffffffff,312.0,0.0,0.0
82a94ffffffffff,681.0,0.0,0.0
82a957fffffffff,96.0,0.0,0.0
82a95ffffffffff,51.0,0.0,0.0
82a967fffffffff,135.0,0.0,0.0
82a96ffffffffff,459.0,0.0,0.0
82a977fffffffff,23.0,0.0,0.0
82b24ffffffffff,61.0,0.0,0.0
82b267fffffffff,98.0,0.0,0.0
