cell_id,Pipile cujubi,Pipile cujubi nattereri,Pipile cujubi cujubi
828067fffffffff,14.0,0.0,0.0
828077fffffffff,5.0,0.0,0.0
828147fffffffff,8.0,0.0,0.0
82814ffffffffff,63.0,0.0,0.0
82815ffffffffff,7.0,0.0,0.0
828167fffffffff,13.0,0.0,0.0
828a17fffffffff,25.0,0.0,0.0
828a27fffffffff,1.0,1.0,0.0
828a37fffffffff,4.0,0.0,0.0
828a87fffffffff,13.0,0.0,0.0
828a97fffffffff,6.0,0.0,0.0
828aaffffffffff,38.0,0.0,0.0
828b17fffffffff,17.0,0.0,0.0
828b87fffffffff,82.0,0.0,0.0
828b8ffffffffff,84.0,2.0,0.0
828b9ffffffffff,1050.0,10.0,13.0
828ba7fffffffff,5.0,0.0,0.0
828baffffffffff,2.0,0.0,0.0
82a847fffffffff,13.0,0.0,0.0
82a84ffffffffff,8.0,0.0,0.0
82a85ffffffffff,1016.0,11.0,0.0
82a8cffffffffff,10.0,0.0,0.0
