cell_id,Pandion haliaetus,Pandion haliaetus haliaetus,Pandion haliaetus carolinensis,Pandion haliaetus ridgwayi,Pandion haliaetus cristatus
830126fffffffff,3.0,0.0,0.0,0.0,0.0
830135fffffffff,4.0,2.0,0.0,0.0,0.0
830802fffffffff,1.0,0.0,0.0,0.0,0.0
830811fffffffff,2.0,0.0,0.0,0.0,0.0
830812fffffffff,6.0,0.0,0.0,0.0,0.0
830813fffffffff,2.0,0.0,0.0,0.0,0.0
830814fffffffff,1.0,0.0,0.0,0.0,0.0
830819fffffffff,2.0,0.0,0.0,0.0,0.0
83081efffffffff,2.0,0.0,0.0,0.0,0.0
830832fffffffff,1.0,0.0,0.0,0.0,0.0
830880fffffffff,28.0,10.0,0.0,0.0,0.0
830882fffffffff,8.0,4.0,0.0,0.0,0.0
830883fffffffff,12.0,0.0,0.0,0.0,0.0
830884fffffffff,19.0,8.0,0.0,0.0,0.0
830885fffffffff,2.0,0.0,0.0,0.0,0.0
830886fffffffff,158.0,60.0,0.0,0.0,0.0
830888fffffffff,27.0,10.0,0.0,0.0,0.0
830889fffffffff,2.0,0.0,0.0,0.0,0.0
83088afffffffff,21.0,9.0,0.0,0.0,0.0
83088bfffffffff,2.0,0.0,0.0,0.0,0.0
83088efffffffff,8.0,4.0,0.0,0.0,0.0
830893fffffffff,2.0,0.0,0.0,0.0,0.0
830894fffffffff,1.0,1.0,0.0,0.0,0.0
830895fffffffff,21.0,11.0,0.0,0.0,0.0
830898fffffffff,15.0,0.0,0.0,0.0,0.0
830899fffffffff,111.0,34.0,0.0,0.0,0.0
83089afffffffff,12.0,0.0,0.0,0.0,0.0
83089bfffffffff,2.0,0.0,0.0,0.0,0.0
83089dfffffffff,31.0,0.0,0.0,0.0,0.0
83089efffffffff,7.0,0.0,0.0,0.0,0.0
8308a0fffffffff,4.0,0.0,0.0,0.0,0.0
8308a2fffffffff,2.0,0.0,0.0,0.0,0.0
8308a3fffffffff,2.0,0.0,0.0,0.0,0.0
8308a4fffffffff,5.0,1.0,0.0,0.0,0.0
8308a5fffffffff,6.0,4.0,0.0,0.0,0.0
8308a6fffffffff,4.0,2.0,0.0,0.0,0.0
8308a9fffffffff,3.0,0.0,0.0,0.0,0.0
8308acfffffffff,2.0,0.0,0.0,0.0,0.0
8308aefffffffff,2.0,2.0,0.0,0.0,0.0
8308b0fffffffff,32.0,4.0,0.0,0.0,0.0
8308b1fffffffff,49.0,11.0,0.0,0.0,0.0
8308b2fffffffff,1.0,0.0,0.0,0.0,0.0
8308b3fffffffff,2.0,0.0,0.0,0.0,0.0
8308b4fffffffff,10.0,0.0,0.0,0.0,0.0
8308b5fffffffff,8.0,0.0,0.0,0.0,0.0
8308b6fffffffff,4.0,0.0,0.0,0.0,0.0
8308c0fffffffff,4.0,0.0,0.0,0.0,0.0
8308c1fffffffff,2.0,0.0,0.0,0.0,0.0
8308c2fffffffff,8.0,2.0,0.0,0.0,0.0
8308c9fffffffff,19.0,3.0,0.0,0.0,0.0
8308cdfffffffff,11.0,0.0,0.0,0.0,0.0
8308cefffffffff,19.0,2.0,0.0,0.0,0.0
8308d0fffffffff,4.0,0.0,0.0,0.0,0.0
8308d1fffffffff,25.0,1.0,0.0,0.0,0.0
8308d3fffffffff,3.0,0.0,0.0,0.0,0.0
8308d5fffffffff,16.0,1.0,0.0,0.0,0.0
8308d6fffffffff,2.0,0.0,0.0,0.0,0.0
8308d8fffffffff,39.0,0.0,0.0,0.0,0.0
8308dbfffffffff,2.0,0.0,0.0,0.0,0.0
8308defffffffff,2.0,0.0,0.0,0.0,0.0
8308e3fffffffff,3.0,1.0,0.0,0.0,0.0
8308eafffffffff,7.0,2.0,0.0,0.0,0.0
8308f0fffffffff,2.0,0.0,0.0,0.0,0.0
8308f2fffffffff,2.0,2.0,0.0,0.0,0.0
8308f4fffffffff,4.0,0.0,0.0,0.0,0.0
8308f6fffffffff,10.0,0.0,0.0,0.0,0.0
83095afffffffff,2.0,0.0,0.0,0.0,0.0
830980fffffffff,2.0,0.0,0.0,0.0,0.0
830982fffffffff,4.0,0.0,0.0,0.0,0.0
83098bfffffffff,2.0,0.0,0.0,0.0,0.0
830991fffffffff,12.0,2.0,0.0,0.0,0.0
830993fffffffff,2.0,0.0,0.0,0.0,0.0
830998fffffffff,6.0,0.0,0.0,0.0,0.0
830999fffffffff,46.0,10.0,0.0,0.0,0.0
83099bfffffffff,23.0,3.0,0.0,0.0,0.0
