cell_id,Adelomyia melanogenys,Adelomyia melanogenys [melanogenys Group],Adelomyia melanogenys maculata,Adelomyia melanogenys inornata
846608dffffffff,2.0,0.0,0.0,0.0
8466d31ffffffff,8.0,0.0,0.0,0.0
8466d51ffffffff,1.0,0.0,0.0,0.0
8466de1ffffffff,26.0,15.0,2.0,0.0
8466dedffffffff,8.0,8.0,0.0,0.0
8466e03ffffffff,5.0,0.0,0.0,0.0
8466e09ffffffff,2.0,0.0,0.0,0.0
8466e6dffffffff,2.0,0.0,0.0,0.0
8466f1dffffffff,8.0,0.0,0.0,0.0
8467413ffffffff,16.0,2.0,0.0,0.0
84674e9ffffffff,6.0,1.0,0.0,0.0
84675e3ffffffff,3.0,0.0,0.0,0.0
848b203ffffffff,3.0,0.0,0.0,3.0
848b6edffffffff,7.0,0.0,0.0,0.0
848f0d9ffffffff,3.0,0.0,0.0,0.0
848f0dbffffffff,7.0,0.0,0.0,0.0
848f4a5ffffffff,3.0,3.0,0.0,0.0
848f4b3ffffffff,23.0,0.0,0.0,0.0
848f50dffffffff,12.0,0.0,0.0,0.0
848f547ffffffff,5.0,0.0,0.0,0.0
848f733ffffffff,3.0,3.0,0.0,0.0
84b3425ffffffff,7.0,0.0,0.0,0.0
