cell_id,Cyanistes cyanus,Cyanistes cyanus [cyanus Group],Cyanistes cyanus [flavipectus Group]
82089ffffffffff,4.0,0.0,0.0
8208c7fffffffff,1.0,0.0,0.0
8208d7fffffffff,1.0,0.0,0.0
820bb7fffffffff,2.0,1.0,0.0
821127fffffffff,1.0,0.0,0.0
8211affffffffff,52.0,35.0,0.0
821f57fffffffff,9.0,0.0,0.0
821f5ffffffffff,18.0,0.0,0.0
82200ffffffffff,2.0,2.0,0.0
822017fffffffff,1.0,0.0,1.0
82208ffffffffff,1.0,0.0,0.0
8220e7fffffffff,7.0,0.0,0.0
8220f7fffffffff,1.0,1.0,0.0
822517fffffffff,13.0,13.0,0.0
82255ffffffffff,8.0,4.0,0.0
8225affffffffff,1.0,1.0,0.0
823127fffffffff,8.0,0.0,0.0
