cell_id,Zosterops senegalensis,Zosterops senegalensis senegalensis/demeryi,Zosterops senegalensis jacksoni/gerhardi
83541afffffffff,1.0,1.0,0.0
8354c4fffffffff,2.0,0.0,0.0
8354e1fffffffff,4.0,0.0,0.0
8354eafffffffff,1.0,0.0,0.0
8354ecfffffffff,2.0,0.0,0.0
836ac5fffffffff,3.0,3.0,0.0
837a41fffffffff,1.0,0.0,0.0
837a45fffffffff,5.0,0.0,0.0
837a48fffffffff,1.0,0.0,0.0
837a4cfffffffff,9.0,0.0,0.0
837a5cfffffffff,1.0,0.0,0.0
837a68fffffffff,4.0,0.0,0.0
837a6afffffffff,6.0,0.0,0.0
837a6efffffffff,6.0,0.0,0.0
