cell_id,Crinifer personatus,Crinifer personatus personatus,Crinifer personatus leopoldi
82529ffffffffff,2.0,0.0,0.0
826a4ffffffffff,5.0,0.0,0.0
826ac7fffffffff,66.0,0.0,14.0
826acffffffffff,730.0,0.0,84.0
826adffffffffff,220.0,0.0,7.0
826aeffffffffff,5.0,0.0,0.0
827a5ffffffffff,7.0,0.0,0.0
827a6ffffffffff,1317.0,0.0,50.0
827acffffffffff,142.0,0.0,0.0
827adffffffffff,10.0,0.0,0.0
827aeffffffffff,45.0,0.0,0.0
829687fffffffff,5.0,0.0,0.0
82968ffffffffff,2.0,0.0,0.0
829697fffffffff,579.0,0.0,74.0
82969ffffffffff,12.0,0.0,0.0
8296a7fffffffff,16.0,0.0,0.0
8296affffffffff,7.0,0.0,0.0
8296b7fffffffff,187.0,0.0,0.0
