cell_id,Ortalis ruficauda,Ortalis ruficauda ruficrissa,Ortalis ruficauda ruficauda
845e62dffffffff,1.0,0.0,0.0
845e659ffffffff,5.0,0.0,2.0
845e719ffffffff,7.0,0.0,0.0
845f417ffffffff,3.0,0.0,0.0
845f437ffffffff,1.0,0.0,0.0
845f483ffffffff,11.0,0.0,0.0
845f485ffffffff,4.0,0.0,0.0
845f487ffffffff,40.0,0.0,0.0
845f491ffffffff,6.0,0.0,0.0
845f49bffffffff,1.0,0.0,0.0
845f4a3ffffffff,11.0,0.0,0.0
845f4a7ffffffff,3.0,0.0,0.0
845f4a9ffffffff,23.0,0.0,0.0
845f4abffffffff,16.0,0.0,0.0
845f4b3ffffffff,40.0,0.0,0.0
845f4b9ffffffff,5.0,0.0,1.0
845f4bbffffffff,1.0,0.0,0.0
845f4bdffffffff,12.0,0.0,0.0
845f4e1ffffffff,1.0,0.0,0.0
845f4e3ffffffff,1.0,0.0,0.0
845f4e5ffffffff,19.0,0.0,0.0
845f4e7ffffffff,14.0,0.0,0.0
845f5b5ffffffff,1265.0,0.0,59.0
845f5bdffffffff,200.0,0.0,7.0
8466091ffffffff,11.0,0.0,0.0
8466093ffffffff,3.0,0.0,0.0
8466097ffffffff,44.0,0.0,0.0
8466099ffffffff,7.0,0.0,0.0
846609bffffffff,10.0,0.0,0.0
84660b3ffffffff,13.0,0.0,0.0
84660bbffffffff,1.0,0.0,0.0
84660c3ffffffff,3.0,0.0,0.0
84660c9ffffffff,2.0,0.0,0.0
84660cbffffffff,43.0,0.0,0.0
84660d1ffffffff,65.0,0.0,0.0
84660d3ffffffff,15.0,0.0,0.0
84660d9ffffffff,11.0,0.0,0.0
84660dbffffffff,4.0,0.0,0.0
84660ddffffffff,20.0,0.0,0.0
8466201ffffffff,10.0,0.0,0.0
8466203ffffffff,21.0,0.0,0.0
8466205ffffffff,15.0,0.0,0.0
8466207ffffffff,2.0,0.0,0.0
846620bffffffff,1015.0,120.0,0.0
8466211ffffffff,2.0,0.0,0.0
8466213ffffffff,1.0,0.0,0.0
8466217ffffffff,32.0,0.0,0.0
8466219ffffffff,55.0,8.0,0.0
846621bffffffff,4.0,0.0,0.0
846621dffffffff,4.0,0.0,0.0
8466221ffffffff,4.0,0.0,0.0
8466225ffffffff,9.0,0.0,0.0
8466227ffffffff,2.0,0.0,0.0
846622bffffffff,8.0,0.0,0.0
846623bffffffff,43.0,2.0,0.0
8466257ffffffff,37.0,0.0,0.0
8466283ffffffff,2.0,0.0,0.0
8466285ffffffff,39.0,0.0,0.0
8466289ffffffff,4.0,0.0,0.0
846628bffffffff,4.0,0.0,0.0
8466291ffffffff,7.0,0.0,0.0
8466293ffffffff,10.0,0.0,0.0
846629bffffffff,37.0,0.0,0.0
846629dffffffff,5.0,0.0,0.0
84662b1ffffffff,1.0,0.0,0.0
84662b5ffffffff,45.0,0.0,0.0
84662b7ffffffff,60.0,0.0,3.0
84662bdffffffff,3.0,0.0,0.0
84662c1ffffffff,3.0,0.0,0.0
84662c9ffffffff,1.0,0.0,0.0
84662d3ffffffff,13.0,0.0,0.0
84662d7ffffffff,2.0,0.0,0.0
84662d9ffffffff,1.0,0.0,0.0
84662dbffffffff,16.0,0.0,0.0
84662e1ffffffff,19.0,0.0,0.0
84662e5ffffffff,5.0,0.0,0.0
84662e9ffffffff,28.0,0.0,0.0
84662ebffffffff,3.0,0.0,0.0
8466311ffffffff,1.0,0.0,0.0
8466313ffffffff,7.0,0.0,0.0
8466317ffffffff,2.0,0.0,0.0
846652dffffffff,3.0,0.0,0.0
8466545ffffffff,101.0,0.0,0.0
8466549ffffffff,22.0,0.0,0.0
846654bffffffff,32.0,0.0,0.0
846654dffffffff,3.0,0.0,0.0
8466561ffffffff,56.0,0.0,0.0
8466563ffffffff,1.0,0.0,0.0
8466565ffffffff,90.0,0.0,1.0
8466567ffffffff,2.0,0.0,0.0
8466569ffffffff,42.0,0.0,2.0
846656bffffffff,6.0,0.0,0.0
846656dffffffff,243.0,0.0,1.0
8466641ffffffff,3.0,0.0,0.0
8466645ffffffff,4.0,0.0,0.0
8466647ffffffff,16.0,0.0,0.0
846664dffffffff,12.0,0.0,0.0
846666dffffffff,1.0,0.0,0.0
8466701ffffffff,1.0,0.0,1.0
8466705ffffffff,8.0,0.0,0.0
8466709ffffffff,1.0,0.0,0.0
846670dffffffff,35.0,0.0,0.0
8466715ffffffff,3.0,0.0,0.0
8466723ffffffff,17.0,0.0,0.0
8466725ffffffff,29.0,0.0,0.0
8466727ffffffff,393.0,0.0,21.0
8466729ffffffff,9.0,0.0,0.0
8466733ffffffff,1.0,0.0,0.0
8466735ffffffff,31.0,0.0,0.0
8466749ffffffff,3.0,0.0,0.0
