cell_id,Pitta sordida,Pitta sordida cucullata,Pitta sordida mulleri/bangkana,Pitta sordida sordida/palawanensis,Pitta sordida sanghirana
823c1ffffffffff,2.0,0.0,0.0,0.0,0.0
823c5ffffffffff,4.0,0.0,0.0,0.0,0.0
823cc7fffffffff,11.0,3.0,0.0,0.0,0.0
823ce7fffffffff,6.0,0.0,0.0,0.0,0.0
823ceffffffffff,8.0,0.0,0.0,0.0,0.0
823cf7fffffffff,27.0,3.0,0.0,0.0,0.0
823d17fffffffff,1.0,0.0,0.0,0.0,0.0
82404ffffffffff,2.0,2.0,0.0,0.0,0.0
824bb7fffffffff,4.0,0.0,0.0,0.0,0.0
826417fffffffff,4.0,0.0,0.0,0.0,0.0
826437fffffffff,1.0,1.0,0.0,0.0,0.0
826497fffffffff,10.0,0.0,0.0,0.0,0.0
8264b7fffffffff,1.0,0.0,0.0,0.0,0.0
826527fffffffff,8.0,0.0,0.0,0.0,0.0
82658ffffffffff,5.0,4.0,0.0,0.0,0.0
82681ffffffffff,4.0,0.0,4.0,0.0,0.0
82682ffffffffff,1.0,0.0,0.0,0.0,0.0
82684ffffffffff,2.0,0.0,0.0,2.0,0.0
82694ffffffffff,8.0,0.0,0.0,2.0,0.0
82695ffffffffff,1.0,0.0,0.0,1.0,0.0
8273b7fffffffff,4.0,0.0,0.0,0.0,0.0
