cell_id,Erythropitta celebensis,Erythropitta celebensis celebensis,Erythropitta celebensis caeruleitorques,Erythropitta celebensis palliceps
8268c7fffffffff,10.0,10.0,0.0,0.0
8268cffffffffff,173.0,146.0,0.0,17.0
8268d7fffffffff,9.0,9.0,0.0,0.0
8268dffffffffff,1.0,1.0,0.0,0.0
8273b7fffffffff,18.0,0.0,18.0,0.0
829507fffffffff,19.0,19.0,0.0,0.0
82950ffffffffff,4.0,4.0,0.0,0.0
829577fffffffff,5.0,5.0,0.0,0.0
