cell_id,Aethopyga christinae,Aethopyga christinae latouchii/sokolovi,Aethopyga christinae christinae
83309afffffffff,65.0,0.0,0.0
834004fffffffff,2.0,0.0,0.0
83400afffffffff,2.0,0.0,0.0
834013fffffffff,1.0,0.0,0.0
834019fffffffff,2.0,0.0,0.0
834020fffffffff,13.0,0.0,0.0
834022fffffffff,8.0,0.0,0.0
834024fffffffff,2.0,0.0,0.0
834026fffffffff,4.0,0.0,0.0
83402dfffffffff,16.0,0.0,0.0
834034fffffffff,3.0,0.0,0.0
834036fffffffff,6.0,0.0,0.0
8340e0fffffffff,2.0,0.0,0.0
8340e1fffffffff,13.0,0.0,0.0
8340e3fffffffff,7.0,0.0,0.0
8340e5fffffffff,2.0,0.0,0.0
834103fffffffff,170.0,7.0,0.0
834109fffffffff,2.0,0.0,0.0
83410afffffffff,2.0,0.0,0.0
834110fffffffff,4.0,0.0,0.0
834112fffffffff,2.0,0.0,0.0
834116fffffffff,1.0,0.0,0.0
834118fffffffff,68.0,0.0,0.0
834119fffffffff,29.0,0.0,0.0
83411afffffffff,12.0,0.0,0.0
83411cfffffffff,1417.0,141.0,0.0
83411dfffffffff,106.0,0.0,0.0
834142fffffffff,1.0,0.0,0.0
834143fffffffff,198.0,23.0,0.0
834151fffffffff,2.0,0.0,0.0
834153fffffffff,8.0,0.0,0.0
834158fffffffff,9.0,1.0,0.0
83415afffffffff,9.0,1.0,0.0
83415cfffffffff,51.0,8.0,0.0
83415dfffffffff,2.0,0.0,0.0
83415efffffffff,88.0,5.0,0.0
834160fffffffff,2.0,0.0,0.0
834161fffffffff,10.0,2.0,0.0
834165fffffffff,17.0,4.0,0.0
83416afffffffff,1.0,0.0,0.0
83416efffffffff,10.0,0.0,0.0
834170fffffffff,3.0,0.0,2.0
834171fffffffff,182.0,0.0,95.0
834173fffffffff,2.0,0.0,1.0
834180fffffffff,2.0,0.0,0.0
834182fffffffff,3.0,0.0,0.0
834184fffffffff,11.0,1.0,0.0
834185fffffffff,20.0,0.0,0.0
834186fffffffff,2.0,0.0,0.0
834191fffffffff,13.0,0.0,0.0
834194fffffffff,2.0,0.0,0.0
83419dfffffffff,2.0,0.0,0.0
8341a0fffffffff,7.0,0.0,0.0
8341a3fffffffff,1.0,0.0,0.0
8341a4fffffffff,851.0,192.0,0.0
8341a5fffffffff,524.0,188.0,0.0
8341abfffffffff,4.0,0.0,0.0
8341adfffffffff,2.0,0.0,0.0
8341b0fffffffff,1.0,1.0,0.0
8341b3fffffffff,6.0,0.0,0.0
8341b4fffffffff,42.0,0.0,0.0
8341b5fffffffff,93.0,15.0,0.0
834b36fffffffff,2.0,0.0,0.0
836934fffffffff,50.0,0.0,0.0
