cell_id,Willisornis vidua,Willisornis vidua nigrigula,Willisornis vidua vidua
828047fffffffff,108.0,0.0,0.0
828067fffffffff,32.0,0.0,0.0
82806ffffffffff,1.0,0.0,0.0
828077fffffffff,24.0,0.0,0.0
828147fffffffff,29.0,0.0,0.0
82814ffffffffff,143.0,0.0,0.0
82815ffffffffff,28.0,0.0,2.0
828167fffffffff,6.0,0.0,2.0
828a87fffffffff,22.0,0.0,0.0
828a97fffffffff,10.0,0.0,0.0
828a9ffffffffff,28.0,0.0,0.0
828aa7fffffffff,1.0,0.0,0.0
828ab7fffffffff,1.0,0.0,0.0
828b87fffffffff,1.0,0.0,0.0
828b8ffffffffff,2.0,0.0,0.0
828b9ffffffffff,337.0,0.0,0.0
