cell_id,Vireo griseus,Vireo griseus [griseus Group],Vireo griseus perquisitor
8426091ffffffff,2.0,0.0,0.0
8426093ffffffff,10.0,0.0,0.0
8426095ffffffff,1.0,0.0,0.0
8426097ffffffff,5.0,0.0,0.0
842609bffffffff,1.0,0.0,0.0
84260b3ffffffff,4.0,0.0,0.0
84260b9ffffffff,32.0,0.0,0.0
84260bbffffffff,16.0,0.0,0.0
8426401ffffffff,20.0,0.0,0.0
8426403ffffffff,44.0,0.0,0.0
8426405ffffffff,111.0,0.0,0.0
8426407ffffffff,32.0,0.0,0.0
8426409ffffffff,139.0,0.0,0.0
842640bffffffff,5.0,0.0,0.0
842640dffffffff,135.0,0.0,0.0
8426411ffffffff,147.0,0.0,0.0
8426413ffffffff,89.0,0.0,0.0
8426415ffffffff,1311.0,0.0,0.0
8426417ffffffff,620.0,0.0,0.0
8426419ffffffff,7.0,0.0,0.0
842641bffffffff,84.0,0.0,0.0
842641dffffffff,167.0,0.0,0.0
8426421ffffffff,140.0,0.0,0.0
8426423ffffffff,163.0,0.0,0.0
8426425ffffffff,151.0,0.0,0.0
8426427ffffffff,63.0,0.0,0.0
8426429ffffffff,344.0,0.0,0.0
842642bffffffff,86.0,0.0,0.0
842642dffffffff,52.0,0.0,0.0
8426431ffffffff,225.0,0.0,0.0
8426433ffffffff,229.0,0.0,0.0
8426435ffffffff,82.0,0.0,0.0
8426437ffffffff,461.0,0.0,0.0
8426439ffffffff,352.0,0.0,0.0
842643bffffffff,371.0,0.0,0.0
842643dffffffff,123.0,0.0,0.0
8426441ffffffff,4.0,0.0,0.0
8426443ffffffff,11.0,0.0,0.0
8426445ffffffff,4.0,0.0,0.0
8426447ffffffff,3.0,0.0,0.0
842644bffffffff,3.0,0.0,0.0
842644dffffffff,8.0,0.0,0.0
8426451ffffffff,3.0,0.0,0.0
8426453ffffffff,2.0,0.0,0.0
8426455ffffffff,7.0,0.0,0.0
8426457ffffffff,10.0,0.0,0.0
8426459ffffffff,8.0,0.0,0.0
842645bffffffff,2.0,0.0,0.0
842645dffffffff,13.0,0.0,0.0
8426461ffffffff,379.0,0.0,0.0
8426463ffffffff,1873.0,0.0,0.0
8426465ffffffff,6.0,0.0,0.0
8426467ffffffff,80.0,0.0,0.0
8426469ffffffff,17.0,0.0,0.0
842646bffffffff,110.0,0.0,0.0
842646dffffffff,50.0,0.0,0.0
8426481ffffffff,255.0,0.0,0.0
8426483ffffffff,74.0,0.0,0.0
8426485ffffffff,5.0,0.0,0.0
8426487ffffffff,63.0,0.0,0.0
8426489ffffffff,718.0,0.0,0.0
842648bffffffff,379.0,0.0,0.0
842648dffffffff,62.0,0.0,0.0
8426491ffffffff,42.0,0.0,0.0
8426493ffffffff,507.0,0.0,0.0
8426495ffffffff,181.0,0.0,0.0
8426497ffffffff,264.0,0.0,0.0
8426499ffffffff,24.0,0.0,0.0
842649bffffffff,247.0,0.0,0.0
842649dffffffff,59.0,0.0,0.0
84264a1ffffffff,129.0,0.0,0.0
84264a3ffffffff,44.0,0.0,0.0
84264a5ffffffff,134.0,0.0,0.0
84264a7ffffffff,696.0,0.0,0.0
84264a9ffffffff,41.0,0.0,0.0
84264abffffffff,76.0,0.0,0.0
84264adffffffff,104.0,0.0,0.0
84264b1ffffffff,34.0,0.0,0.0
84264b3ffffffff,31.0,0.0,0.0
84264b5ffffffff,4.0,0.0,0.0
84264b7ffffffff,30.0,0.0,0.0
84264b9ffffffff,276.0,0.0,0.0
84264bbffffffff,249.0,0.0,0.0
84264bdffffffff,78.0,0.0,0.0
84264c1ffffffff,133.0,0.0,0.0
84264c3ffffffff,237.0,0.0,0.0
84264c5ffffffff,853.0,0.0,0.0
84264c7ffffffff,591.0,0.0,0.0
84264c9ffffffff,20.0,0.0,0.0
84264cbffffffff,42.0,0.0,0.0
84264cdffffffff,84.0,0.0,0.0
84264d1ffffffff,1251.0,0.0,0.0
84264d3ffffffff,48.0,0.0,0.0
84264d5ffffffff,93.0,0.0,0.0
84264d7ffffffff,61.0,0.0,0.0
84264d9ffffffff,350.0,0.0,0.0
84264dbffffffff,499.0,0.0,0.0
84264ddffffffff,190.0,0.0,0.0
84264e1ffffffff,31.0,0.0,0.0
84264e3ffffffff,15.0,0.0,0.0
84264e5ffffffff,497.0,0.0,0.0
84264e7ffffffff,32.0,0.0,0.0
84264e9ffffffff,10.0,0.0,0.0
84264ebffffffff,25.0,0.0,0.0
84264edffffffff,67.0,0.0,0.0
8426501ffffffff,60.0,0.0,0.0
8426503ffffffff,39.0,0.0,0.0
8426505ffffffff,67.0,0.0,0.0
8426509ffffffff,38.0,0.0,0.0
842650bffffffff,97.0,0.0,0.0
842650dffffffff,136.0,0.0,0.0
8426511ffffffff,58.0,0.0,0.0
8426513ffffffff,61.0,0.0,0.0
8426515ffffffff,83.0,0.0,0.0
8426517ffffffff,10.0,0.0,0.0
8426519ffffffff,64.0,0.0,0.0
842651bffffffff,144.0,0.0,0.0
842651dffffffff,172.0,0.0,0.0
8426521ffffffff,107.0,0.0,0.0
8426523ffffffff,14.0,0.0,0.0
8426527ffffffff,14.0,0.0,0.0
