cell_id,Eurystomus glaucurus,Eurystomus glaucurus [afer Group],Eurystomus glaucurus glaucurus
832db6fffffffff,14.0,0.0,0.0
8354c4fffffffff,1.0,0.0,0.0
836ac9fffffffff,2.0,0.0,0.0
836ad8fffffffff,2.0,0.0,0.0
836addfffffffff,8.0,0.0,0.0
837a40fffffffff,2.0,0.0,0.0
837a60fffffffff,10.0,0.0,0.0
837a64fffffffff,2.0,0.0,0.0
837a65fffffffff,16.0,2.0,0.0
837a68fffffffff,1.0,0.0,0.0
837a6afffffffff,13.0,1.0,0.0
837a6bfffffffff,2.0,2.0,0.0
837a6efffffffff,3.0,0.0,0.0
837b4afffffffff,61.0,0.0,0.0
837b4cfffffffff,51.0,5.0,0.0
837b4efffffffff,23.0,0.0,0.0
839711fffffffff,5.0,5.0,0.0
839713fffffffff,3.0,3.0,0.0
83972cfffffffff,3.0,3.0,0.0
839799fffffffff,3.0,3.0,0.0
83a231fffffffff,1.0,0.0,1.0
83a38dfffffffff,4.0,0.0,0.0
83a3abfffffffff,2.0,0.0,0.0
83bcd0fffffffff,1.0,1.0,0.0
