cell_id,Phoenicurus ochruros,Phoenicurus ochruros gibraltariensis/aterrimus,Phoenicurus ochruros [ochruros Group]
840836dffffffff,4.0,0.0,0.0
840880bffffffff,2.0,0.0,0.0
840880dffffffff,4.0,0.0,0.0
840882dffffffff,2.0,0.0,0.0
8408837ffffffff,3.0,0.0,0.0
840885bffffffff,2.0,0.0,0.0
8408889ffffffff,6.0,0.0,0.0
8408901ffffffff,5.0,0.0,0.0
8408933ffffffff,3.0,0.0,0.0
8408937ffffffff,3.0,0.0,0.0
8408961ffffffff,2.0,0.0,0.0
8408995ffffffff,4.0,0.0,0.0
84089a1ffffffff,2.0,0.0,0.0
84089a5ffffffff,2.0,0.0,0.0
84089a7ffffffff,2.0,0.0,0.0
84089a9ffffffff,61.0,0.0,0.0
84089abffffffff,4.0,0.0,0.0
84089b1ffffffff,12.0,0.0,0.0
84089b7ffffffff,3.0,0.0,0.0
84089dbffffffff,2.0,0.0,0.0
84089e3ffffffff,10.0,0.0,0.0
84089ebffffffff,2.0,0.0,0.0
8408a35ffffffff,1.0,0.0,0.0
8408b47ffffffff,2.0,0.0,0.0
8408cd7ffffffff,2.0,0.0,0.0
8408cdbffffffff,1.0,0.0,0.0
8408ce5ffffffff,1.0,0.0,0.0
8409805ffffffff,6.0,0.0,0.0
840982dffffffff,1.0,0.0,0.0
840988bffffffff,2.0,0.0,0.0
84098bbffffffff,2.0,0.0,0.0
8409911ffffffff,1.0,0.0,0.0
8409917ffffffff,2.0,0.0,0.0
840991bffffffff,20.0,0.0,0.0
8409927ffffffff,3.0,0.0,0.0
8409937ffffffff,4.0,0.0,0.0
8409993ffffffff,2.0,0.0,0.0
84099e9ffffffff,2.0,0.0,0.0
8409a09ffffffff,9.0,0.0,0.0
8409a47ffffffff,2.0,0.0,0.0
8409a4dffffffff,8.0,0.0,0.0
8409a69ffffffff,6.0,0.0,0.0
8410c35ffffffff,2.0,0.0,0.0
8410d07ffffffff,1.0,0.0,0.0
8410dcdffffffff,1.0,0.0,0.0
8410f2bffffffff,1.0,0.0,0.0
8411061ffffffff,4.0,0.0,0.0
8411069ffffffff,3.0,0.0,0.0
8411169ffffffff,10.0,0.0,0.0
841116dffffffff,5.0,0.0,0.0
8411249ffffffff,2.0,0.0,0.0
841124dffffffff,2.0,0.0,0.0
8411261ffffffff,1.0,0.0,0.0
841126dffffffff,2.0,0.0,0.0
84112e3ffffffff,2.0,0.0,0.0
8411309ffffffff,2.0,0.0,0.0
8411345ffffffff,2.0,0.0,0.0
8411359ffffffff,1.0,0.0,0.0
8411363ffffffff,1.0,0.0,0.0
8411365ffffffff,2.0,0.0,0.0
8411807ffffffff,2.0,0.0,0.0
8411811ffffffff,3.0,1.0,0.0
8411813ffffffff,6.0,2.0,0.0
8411819ffffffff,2.0,0.0,0.0
841181dffffffff,16.0,0.0,0.0
841183bffffffff,2.0,0.0,0.0
841185dffffffff,2.0,0.0,0.0
84118adffffffff,51.0,0.0,0.0
84118c5ffffffff,2.0,0.0,0.0
84118cdffffffff,6.0,0.0,0.0
84118e1ffffffff,6.0,0.0,0.0
84118e5ffffffff,2.0,0.0,0.0
84118e9ffffffff,18.0,0.0,0.0
8411913ffffffff,6.0,0.0,0.0
84119ebffffffff,8.0,0.0,0.0
8411a43ffffffff,1.0,0.0,0.0
8411a6bffffffff,1.0,0.0,0.0
8411aa5ffffffff,4.0,0.0,2.0
8411aa7ffffffff,2.0,0.0,0.0
8411ab5ffffffff,3.0,0.0,0.0
8411ae3ffffffff,28.0,18.0,0.0
8411ae7ffffffff,2.0,0.0,0.0
8411b25ffffffff,1.0,0.0,0.0
8411b4dffffffff,2.0,0.0,0.0
84182a3ffffffff,1.0,1.0,0.0
8418409ffffffff,2.0,0.0,0.0
8418443ffffffff,12.0,0.0,0.0
8418451ffffffff,7.0,0.0,0.0
8418453ffffffff,1.0,0.0,0.0
8418455ffffffff,2.0,0.0,0.0
8418457ffffffff,16.0,0.0,0.0
8418459ffffffff,4.0,0.0,0.0
841845bffffffff,2.0,0.0,0.0
841845dffffffff,4.0,0.0,0.0
8418469ffffffff,1.0,0.0,0.0
841846dffffffff,82.0,0.0,0.0
8418491ffffffff,64.0,2.0,0.0
8418493ffffffff,498.0,8.0,0.0
8418495ffffffff,1554.0,0.0,0.0
8418497ffffffff,237.0,0.0,0.0
841849bffffffff,17.0,0.0,0.0
841849dffffffff,19.0,0.0,0.0
84184a3ffffffff,29.0,1.0,0.0
84184b1ffffffff,674.0,8.0,0.0
84184b3ffffffff,121.0,0.0,0.0
84184b5ffffffff,357.0,8.0,0.0
84184b7ffffffff,224.0,0.0,0.0
84184b9ffffffff,203.0,0.0,0.0
84184bbffffffff,515.0,0.0,0.0
84184bdffffffff,227.0,33.0,0.0
84184c3ffffffff,20.0,5.0,0.0
84184c9ffffffff,7.0,0.0,0.0
84184d1ffffffff,3.0,0.0,0.0
84184d5ffffffff,18.0,1.0,0.0
84184d9ffffffff,9.0,2.0,0.0
84184ddffffffff,55.0,3.0,0.0
8418593ffffffff,94.0,0.0,0.0
8418597ffffffff,101.0,0.0,0.0
84185b1ffffffff,66.0,0.0,0.0
84185b3ffffffff,233.0,0.0,0.0
84185b5ffffffff,1038.0,0.0,0.0
84185b7ffffffff,20.0,0.0,0.0
84185bbffffffff,955.0,0.0,0.0
8418607ffffffff,12.0,0.0,0.0
8418609ffffffff,3.0,0.0,0.0
841860bffffffff,3.0,0.0,0.0
8418619ffffffff,5.0,0.0,0.0
8418623ffffffff,8.0,0.0,0.0
8418625ffffffff,1.0,0.0,0.0
8418627ffffffff,2.0,0.0,0.0
8418629ffffffff,7.0,2.0,0.0
841862bffffffff,19.0,0.0,0.0
8418631ffffffff,4.0,0.0,0.0
8418635ffffffff,2.0,2.0,0.0
8418637ffffffff,1.0,0.0,0.0
8418639ffffffff,2.0,0.0,0.0
841863dffffffff,4.0,0.0,0.0
841864bffffffff,2.0,2.0,0.0
8418655ffffffff,2.0,0.0,0.0
8418659ffffffff,4.0,0.0,0.0
841865bffffffff,4.0,0.0,0.0
841865dffffffff,3.0,0.0,0.0
841866bffffffff,2.0,0.0,0.0
8418683ffffffff,6.0,0.0,0.0
8418685ffffffff,19.0,0.0,0.0
8418687ffffffff,15.0,11.0,0.0
841868bffffffff,2.0,0.0,0.0
841868dffffffff,3.0,0.0,0.0
8418691ffffffff,9.0,6.0,0.0
8418693ffffffff,2.0,0.0,0.0
8418695ffffffff,13.0,0.0,0.0
8418697ffffffff,14.0,2.0,0.0
841869bffffffff,2.0,0.0,0.0
841869dffffffff,2.0,0.0,0.0
84186a1ffffffff,15.0,0.0,0.0
84186a3ffffffff,10.0,0.0,0.0
84186a5ffffffff,10.0,0.0,0.0
84186a7ffffffff,38.0,2.0,0.0
84186a9ffffffff,4.0,0.0,0.0
84186abffffffff,1.0,0.0,0.0
84186b1ffffffff,5.0,0.0,0.0
84186b3ffffffff,1.0,0.0,0.0
84186b5ffffffff,3.0,0.0,0.0
84186b7ffffffff,10.0,0.0,0.0
84186bbffffffff,3.0,0.0,0.0
84186c1ffffffff,17.0,0.0,0.0
84186c3ffffffff,13.0,1.0,0.0
84186c5ffffffff,9.0,0.0,0.0
84186c7ffffffff,1.0,0.0,0.0
84186c9ffffffff,76.0,0.0,0.0
84186cbffffffff,5.0,0.0,0.0
84186cdffffffff,28.0,0.0,0.0
84186d1ffffffff,21.0,13.0,0.0
84186d7ffffffff,3.0,2.0,0.0
84186d9ffffffff,2.0,0.0,0.0
84186dbffffffff,3.0,1.0,0.0
84186ddffffffff,5.0,0.0,0.0
84186e3ffffffff,3.0,2.0,0.0
84186e5ffffffff,3.0,0.0,0.0
84186e9ffffffff,1.0,0.0,0.0
84186ebffffffff,11.0,0.0,0.0
84186edffffffff,5.0,0.0,0.0
841870dffffffff,31.0,4.0,0.0
841871bffffffff,5.0,0.0,0.0
8418729ffffffff,99.0,10.0,0.0
841873bffffffff,42.0,6.0,0.0
8418747ffffffff,4.0,2.0,0.0
8418749ffffffff,1.0,0.0,0.0
841874bffffffff,3.0,0.0,0.0
8418763ffffffff,2.0,0.0,0.0
841876bffffffff,11.0,0.0,0.0
841909bffffffff,1.0,0.0,0.0
84192cbffffffff,8.0,0.0,0.0
8419401ffffffff,48.0,7.0,0.0
8419403ffffffff,9.0,0.0,0.0
841940dffffffff,4.0,0.0,0.0
8419411ffffffff,31.0,4.0,0.0
8419413ffffffff,16.0,4.0,0.0
8419415ffffffff,22.0,5.0,0.0
841941bffffffff,19.0,2.0,0.0
841941dffffffff,4.0,2.0,0.0
841943dffffffff,1.0,0.0,0.0
8419461ffffffff,3.0,0.0,0.0
8419463ffffffff,2.0,0.0,0.0
841946bffffffff,9.0,0.0,0.0
8419481ffffffff,38.0,4.0,0.0
8419483ffffffff,5.0,1.0,0.0
8419485ffffffff,123.0,21.0,0.0
841948bffffffff,8.0,2.0,0.0
841948dffffffff,74.0,16.0,0.0
8419493ffffffff,2.0,0.0,0.0
8419495ffffffff,2.0,0.0,0.0
8419497ffffffff,2.0,2.0,0.0
8419499ffffffff,2.0,0.0,0.0
841949dffffffff,4.0,0.0,0.0
84194a1ffffffff,10.0,0.0,0.0
84194a3ffffffff,2.0,0.0,0.0
84194a5ffffffff,10.0,0.0,0.0
84194a7ffffffff,3.0,0.0,0.0
84194abffffffff,16.0,0.0,0.0
84194adffffffff,4.0,2.0,0.0
84194b1ffffffff,3.0,0.0,0.0
84194b7ffffffff,2.0,0.0,0.0
84194b9ffffffff,15.0,2.0,0.0
84194bbffffffff,14.0,2.0,0.0
84194c5ffffffff,75.0,28.0,0.0
84194d1ffffffff,3.0,0.0,0.0
84194d3ffffffff,2.0,0.0,0.0
84194d5ffffffff,6.0,0.0,0.0
84194d7ffffffff,13.0,0.0,0.0
84194d9ffffffff,4.0,0.0,0.0
84194dbffffffff,19.0,0.0,0.0
84194ddffffffff,110.0,20.0,0.0
84194e1ffffffff,2.0,0.0,0.0
84194e3ffffffff,3.0,0.0,0.0
84194e5ffffffff,3.0,0.0,0.0
84194e7ffffffff,8.0,4.0,0.0
84194ebffffffff,13.0,4.0,0.0
8419507ffffffff,1.0,0.0,0.0
8419513ffffffff,2.0,0.0,0.0
8419517ffffffff,4.0,0.0,0.0
8419519ffffffff,4.0,0.0,0.0
841951bffffffff,2.0,0.0,0.0
8419531ffffffff,2.0,0.0,0.0
841953bffffffff,2.0,0.0,0.0
8419559ffffffff,2.0,0.0,0.0
8419581ffffffff,2.0,0.0,0.0
8419587ffffffff,8.0,0.0,0.0
8419597ffffffff,10.0,0.0,0.0
841959bffffffff,13.0,0.0,0.0
84195b1ffffffff,2.0,0.0,0.0
84195bbffffffff,29.0,4.0,0.0
84195c1ffffffff,1.0,0.0,0.0
84195c3ffffffff,2.0,0.0,0.0
84195cbffffffff,2.0,0.0,0.0
84195cdffffffff,2.0,0.0,0.0
84195d5ffffffff,2.0,0.0,0.0
84195d9ffffffff,4.0,2.0,0.0
84195e3ffffffff,1.0,0.0,0.0
8419683ffffffff,11.0,0.0,0.0
8419689ffffffff,18.0,0.0,0.0
841968bffffffff,2.0,0.0,0.0
8419691ffffffff,8.0,0.0,0.0
8419693ffffffff,37.0,0.0,0.0
8419697ffffffff,2.0,0.0,0.0
8419699ffffffff,1.0,0.0,0.0
841969bffffffff,7.0,0.0,0.0
841969dffffffff,8.0,0.0,0.0
84196b1ffffffff,9.0,0.0,0.0
84196b3ffffffff,3.0,0.0,0.0
84196b7ffffffff,1.0,0.0,0.0
84196b9ffffffff,5.0,0.0,0.0
84196c3ffffffff,3.0,0.0,0.0
84196d1ffffffff,2.0,0.0,0.0
84196d3ffffffff,5.0,0.0,0.0
84196d5ffffffff,7.0,0.0,0.0
84196d7ffffffff,8.0,0.0,0.0
84196d9ffffffff,22.0,0.0,0.0
84196dbffffffff,15.0,0.0,0.0
84196ddffffffff,16.0,0.0,0.0
8419727ffffffff,1.0,0.0,0.0
8419729ffffffff,3.0,0.0,0.0
841972bffffffff,4.0,0.0,0.0
8419733ffffffff,4.0,0.0,0.0
8419739ffffffff,16.0,0.0,0.0
841973bffffffff,9.0,2.0,0.0
841973dffffffff,1.0,0.0,0.0
841976bffffffff,1.0,0.0,0.0
841e003ffffffff,4.0,0.0,0.0
841e005ffffffff,7.0,0.0,0.0
841e007ffffffff,4.0,0.0,0.0
841e009ffffffff,2.0,0.0,0.0
841e00bffffffff,6.0,0.0,0.0
841e00dffffffff,4.0,0.0,0.0
841e013ffffffff,19.0,0.0,0.0
841e017ffffffff,4.0,0.0,0.0
841e019ffffffff,69.0,0.0,0.0
841e01bffffffff,23.0,0.0,0.0
841e01dffffffff,16.0,0.0,0.0
841e021ffffffff,8.0,0.0,0.0
841e023ffffffff,85.0,45.0,0.0
