cell_id,Geokichla guttata,Geokichla guttata maxis,Geokichla guttata lippensi,Geokichla guttata [guttata Group]
847a6dbffffffff,1.0,0.0,0.0,0.0
847b4dbffffffff,1.0,0.0,0.0,0.0
847b591ffffffff,1.0,0.0,0.0,0.0
847b597ffffffff,3.0,0.0,0.0,0.0
8496b6dffffffff,1.0,0.0,0.0,0.0
8497ac7ffffffff,6.0,0.0,0.0,0.0
8497aebffffffff,2.0,0.0,0.0,0.0
84bc0a7ffffffff,1.0,0.0,0.0,0.0
84bc0b5ffffffff,1.0,0.0,0.0,0.0
84bc197ffffffff,6.0,0.0,0.0,1.0
84bc1b3ffffffff,5.0,0.0,0.0,1.0
84bc1b7ffffffff,18.0,0.0,0.0,1.0
84bc1bbffffffff,1.0,0.0,0.0,0.0
84bc899ffffffff,1.0,0.0,0.0,0.0
84bce6dffffffff,1.0,0.0,0.0,0.0
84bcf09ffffffff,239.0,0.0,0.0,56.0
84bcf43ffffffff,4.0,0.0,0.0,2.0
84bcf47ffffffff,22.0,0.0,0.0,7.0
84bcf59ffffffff,5.0,0.0,0.0,2.0
84bcf5dffffffff,3.0,0.0,0.0,0.0
84bcf61ffffffff,14.0,0.0,0.0,1.0
84bcf67ffffffff,1.0,0.0,0.0,0.0
