cell_id,Psittacara holochlorus,Psittacara holochlorus holochlorus/brewsteri,Psittacara holochlorus rubritorquis
824527fffffffff,369.0,0.0,187.0
824537fffffffff,312.0,0.0,212.0
824887fffffffff,260.0,0.0,0.0
8248a7fffffffff,934.0,0.0,0.0
8248b7fffffffff,6250.0,411.0,0.0
824997fffffffff,24.0,0.0,0.0
82499ffffffffff,383.0,8.0,0.0
826d07fffffffff,52.0,2.0,0.0
826d27fffffffff,600.0,101.0,0.0
826d2ffffffffff,121.0,59.0,0.0
826d37fffffffff,266.0,60.0,0.0
826d67fffffffff,785.0,0.0,567.0
826d77fffffffff,40.0,0.0,13.0
