cell_id,Treron calvus,Treron calvus [calvus Group],Treron calvus delalandii/granti
836ac0fffffffff,21.0,0.0,0.0
836ac9fffffffff,2.0,0.0,0.0
837a40fffffffff,1.0,1.0,0.0
837a41fffffffff,2.0,0.0,0.0
837a4dfffffffff,2.0,0.0,0.0
837a60fffffffff,4.0,0.0,0.0
837a61fffffffff,2.0,0.0,0.0
837a65fffffffff,54.0,0.0,0.0
837b4cfffffffff,13.0,0.0,0.0
8382c6fffffffff,3.0,0.0,0.0
839620fffffffff,3.0,0.0,0.0
839626fffffffff,2.0,0.0,0.0
839692fffffffff,2.0,0.0,0.0
83974afffffffff,2.0,2.0,0.0
83975dfffffffff,2.0,0.0,0.0
83ac86fffffffff,2.0,0.0,0.0
83ac8efffffffff,2.0,0.0,0.0
83bc54fffffffff,4.0,0.0,4.0
83bcc3fffffffff,1.0,0.0,1.0
83bcd0fffffffff,7.0,0.0,6.0
83bcd1fffffffff,2.0,0.0,2.0
83bcd2fffffffff,35.0,0.0,31.0
83bcd6fffffffff,2.0,0.0,2.0
83bcdcfffffffff,2.0,0.0,0.0
83bcf2fffffffff,5.0,0.0,5.0
