cell_id,Calamonastides gracilirostris,Calamonastides gracilirostris gracilirostris,Calamonastides gracilirostris bensoni
826ac7fffffffff,6.0,0.0,0.0
826acffffffffff,20.0,0.0,0.0
826adffffffffff,64.0,0.0,0.0
827a6ffffffffff,15.0,0.0,0.0
82961ffffffffff,13.0,0.0,4.0
