cell_id,Ptilinopus ornatus,Ptilinopus ornatus ornatus,Ptilinopus ornatus gestroi
82728ffffffffff,9.0,0.0,0.0
8272a7fffffffff,81.0,27.0,0.0
8272b7fffffffff,1.0,0.0,0.0
8272d7fffffffff,9.0,0.0,0.0
8272dffffffffff,23.0,0.0,0.0
8272f7fffffffff,9.0,0.0,0.0
82739ffffffffff,1.0,0.0,0.0
829c87fffffffff,3.0,0.0,0.0
829c8ffffffffff,12.0,0.0,0.0
829c9ffffffffff,28.0,0.0,0.0
829caffffffffff,22.0,0.0,1.0
829cd7fffffffff,32.0,0.0,0.0
829d9ffffffffff,1.0,0.0,0.0
