cell_id,Cyanocompsa parellina,Cyanocompsa parellina parellina/beneplacita,Cyanocompsa parellina indigotica
834424fffffffff,5.0,0.0,0.0
834501fffffffff,48.0,0.0,0.0
834505fffffffff,42.0,0.0,0.0
834508fffffffff,411.0,58.0,0.0
834509fffffffff,352.0,72.0,0.0
83450afffffffff,391.0,10.0,0.0
83450bfffffffff,182.0,14.0,0.0
83450cfffffffff,189.0,13.0,0.0
83450dfffffffff,344.0,131.0,0.0
83450efffffffff,392.0,34.0,0.0
834519fffffffff,3.0,0.0,0.0
834521fffffffff,12.0,0.0,0.0
834522fffffffff,1.0,0.0,0.0
834524fffffffff,49.0,0.0,0.0
834525fffffffff,8.0,0.0,0.0
834526fffffffff,5.0,0.0,0.0
834528fffffffff,1078.0,52.0,0.0
834529fffffffff,9.0,0.0,0.0
83452afffffffff,1273.0,20.0,0.0
83452bfffffffff,263.0,11.0,0.0
83452cfffffffff,644.0,68.0,0.0
83452dfffffffff,32.0,4.0,0.0
83452efffffffff,3755.0,142.0,0.0
834535fffffffff,8.0,0.0,0.0
834564fffffffff,2.0,0.0,0.0
834569fffffffff,1.0,0.0,0.0
83456dfffffffff,3.0,0.0,0.0
834572fffffffff,80.0,14.0,0.0
834576fffffffff,27.0,0.0,0.0
834806fffffffff,10.0,0.0,0.0
834814fffffffff,2.0,0.0,0.0
834815fffffffff,22.0,0.0,0.0
834830fffffffff,2.0,0.0,0.0
834832fffffffff,12.0,0.0,0.0
834833fffffffff,165.0,0.0,0.0
834836fffffffff,1461.0,0.0,108.0
8348a2fffffffff,335.0,0.0,0.0
8348a6fffffffff,5.0,0.0,0.0
8348b0fffffffff,2.0,0.0,0.0
8348b4fffffffff,7.0,0.0,0.0
8348b5fffffffff,16.0,0.0,0.0
834980fffffffff,2.0,0.0,0.0
834990fffffffff,14.0,0.0,0.0
834991fffffffff,14.0,0.0,0.0
834992fffffffff,1.0,0.0,0.0
834996fffffffff,422.0,125.0,0.0
834998fffffffff,170.0,0.0,0.0
83499bfffffffff,26.0,0.0,0.0
83499cfffffffff,9.0,0.0,0.0
83499efffffffff,12.0,0.0,0.0
8349a1fffffffff,1.0,0.0,0.0
8349a2fffffffff,67.0,0.0,21.0
8349a3fffffffff,33.0,0.0,15.0
8349a8fffffffff,305.0,0.0,38.0
8349a9fffffffff,657.0,0.0,76.0
8349aafffffffff,12.0,0.0,1.0
8349abfffffffff,4.0,0.0,0.0
8349adfffffffff,58.0,0.0,6.0
8349aefffffffff,12.0,0.0,0.0
8349b0fffffffff,10.0,0.0,0.0
8349b5fffffffff,12.0,0.0,0.0
8349b6fffffffff,3.0,0.0,0.0
836d04fffffffff,34.0,2.0,0.0
836d06fffffffff,28.0,0.0,0.0
836d14fffffffff,9.0,0.0,2.0
836d15fffffffff,655.0,0.0,162.0
836d20fffffffff,2.0,0.0,0.0
836d21fffffffff,4.0,0.0,0.0
836d22fffffffff,2.0,0.0,0.0
836d23fffffffff,249.0,63.0,0.0
836d25fffffffff,9.0,0.0,0.0
836d2cfffffffff,11.0,0.0,0.0
836d30fffffffff,45.0,7.0,0.0
836d31fffffffff,19.0,3.0,0.0
836d33fffffffff,213.0,0.0,70.0
836d34fffffffff,17.0,8.0,0.0
836d35fffffffff,18.0,4.0,0.0
836d36fffffffff,2.0,0.0,0.0
836d60fffffffff,47.0,0.0,0.0
836d65fffffffff,109.0,0.0,0.0
836d66fffffffff,13.0,0.0,0.0
836d74fffffffff,109.0,0.0,0.0
836d75fffffffff,29.0,0.0,0.0
