cell_id,Sheppardia gunningi,Sheppardia gunningi sokokensis,Sheppardia gunningi alticola,Sheppardia gunningi bensoni,Sheppardia gunningi gunningi
827b4ffffffffff,1.0,0.0,0.0,0.0,0.0
827b5ffffffffff,152.0,0.0,0.0,0.0,0.0
829717fffffffff,65.0,0.0,0.0,0.0,0.0
82978ffffffffff,13.0,0.0,0.0,0.0,0.0
829797fffffffff,14.0,0.0,0.0,0.0,0.0
