cell_id,Quiscalus major,Quiscalus major major,Quiscalus major torreyi/alabamensis,Quiscalus major westoni
82264ffffffffff,20.0,0.0,0.0,0.0
822a17fffffffff,2040.0,0.0,88.0,0.0
822a37fffffffff,4.0,0.0,0.0,0.0
822aaffffffffff,508.0,0.0,73.0,0.0
822ad7fffffffff,44.0,0.0,2.0,0.0
822af7fffffffff,80.0,0.0,0.0,0.0
824417fffffffff,174.0,0.0,0.0,9.0
82441ffffffffff,202.0,0.0,12.0,9.0
824447fffffffff,466.0,0.0,4.0,0.0
824457fffffffff,77.0,0.0,11.0,0.0
824467fffffffff,7.0,0.0,0.0,0.0
82446ffffffffff,78.0,10.0,0.0,0.0
824477fffffffff,2.0,0.0,0.0,0.0
824487fffffffff,10.0,0.0,0.0,0.0
8244a7fffffffff,47.0,0.0,0.0,18.0
8244affffffffff,59.0,0.0,0.0,30.0
8244b7fffffffff,31.0,0.0,0.0,0.0
8244c7fffffffff,6.0,0.0,0.0,0.0
8244d7fffffffff,222.0,0.0,6.0,0.0
8244e7fffffffff,169.0,0.0,7.0,12.0
8244f7fffffffff,199.0,0.0,12.0,92.0
824897fffffffff,456.0,3.0,0.0,0.0
