cell_id,Cnemathraupis eximia,Cnemathraupis eximia eximia/zimmeri,Cnemathraupis eximia chloronota/cyanocalyptra
836609fffffffff,3.0,0.0,0.0
83660bfffffffff,2.0,0.0,0.0
83660cfffffffff,12.0,0.0,0.0
83660dfffffffff,5.0,0.0,0.0
836618fffffffff,12.0,0.0,0.0
836619fffffffff,5.0,0.0,0.0
83661bfffffffff,14.0,0.0,0.0
8366c4fffffffff,1.0,0.0,0.0
8366c6fffffffff,25.0,0.0,0.0
8366d0fffffffff,3.0,0.0,0.0
8366d1fffffffff,22.0,0.0,0.0
8366d3fffffffff,1059.0,0.0,0.0
8366d5fffffffff,2.0,0.0,0.0
8366dafffffffff,2.0,0.0,0.0
8366defffffffff,268.0,0.0,0.0
8366e0fffffffff,33.0,0.0,0.0
8366e2fffffffff,1.0,0.0,0.0
8366e4fffffffff,260.0,0.0,0.0
8366e5fffffffff,77.0,0.0,0.0
8366e6fffffffff,265.0,0.0,0.0
8366f5fffffffff,29.0,0.0,0.0
838f29fffffffff,1.0,0.0,0.0
838f2dfffffffff,3.0,0.0,0.0
838f54fffffffff,18.0,0.0,0.0
838f72fffffffff,30.0,0.0,0.0
838f76fffffffff,52.0,0.0,0.0
