cell_id,Rhodopechys sanguineus,Rhodopechys sanguineus alienus,Rhodopechys sanguineus sanguineus
832083fffffffff,3.0,0.0,0.0
832085fffffffff,2.0,0.0,0.0
8320e0fffffffff,25.0,0.0,12.0
8320f4fffffffff,2.0,0.0,0.0
832c00fffffffff,51.0,0.0,15.0
832c01fffffffff,2.0,0.0,0.0
832c03fffffffff,3.0,0.0,0.0
832c04fffffffff,14.0,0.0,8.0
832c05fffffffff,2.0,0.0,0.0
832c06fffffffff,17.0,0.0,4.0
832c09fffffffff,7.0,0.0,0.0
832c0efffffffff,1.0,0.0,0.0
832c11fffffffff,3.0,0.0,0.0
832c15fffffffff,27.0,0.0,0.0
832c18fffffffff,3.0,0.0,1.0
832c19fffffffff,6.0,0.0,0.0
832c22fffffffff,5.0,0.0,2.0
832c26fffffffff,21.0,0.0,1.0
832c2efffffffff,4.0,0.0,0.0
832c31fffffffff,1.0,0.0,0.0
832c33fffffffff,17.0,0.0,2.0
832cacfffffffff,2.0,0.0,2.0
832caefffffffff,1.0,0.0,1.0
832cc2fffffffff,2.0,0.0,0.0
832cc6fffffffff,1.0,0.0,0.0
832ccbfffffffff,6.0,0.0,1.0
832cd5fffffffff,28.0,0.0,3.0
832cd6fffffffff,1.0,0.0,0.0
832cf0fffffffff,1.0,0.0,0.0
832cf3fffffffff,108.0,0.0,37.0
832cf6fffffffff,1.0,0.0,0.0
832d10fffffffff,4.0,0.0,0.0
832d11fffffffff,1.0,0.0,0.0
832d12fffffffff,119.0,0.0,27.0
832d13fffffffff,16.0,0.0,0.0
832d16fffffffff,4.0,0.0,0.0
832d1afffffffff,1.0,0.0,0.0
832d1bfffffffff,1.0,0.0,0.0
832d1efffffffff,1.0,0.0,0.0
832d84fffffffff,9.0,0.0,0.0
832da2fffffffff,2.0,0.0,0.0
832da8fffffffff,6.0,0.0,0.0
832da9fffffffff,17.0,0.0,2.0
832dabfffffffff,1.0,0.0,0.0
832dadfffffffff,4.0,0.0,0.0
832db1fffffffff,175.0,0.0,34.0
833981fffffffff,1.0,1.0,0.0
833983fffffffff,295.0,160.0,0.0
833988fffffffff,13.0,4.0,0.0
833989fffffffff,2.0,0.0,0.0
83398efffffffff,10.0,8.0,0.0
833f68fffffffff,10.0,0.0,4.0
833f6dfffffffff,2.0,0.0,0.0
833f6efffffffff,9.0,0.0,0.0
83430efffffffff,2.0,0.0,0.0
834324fffffffff,6.0,0.0,3.0
834326fffffffff,2.0,0.0,0.0
834375fffffffff,1.0,0.0,0.0
