cell_id,Synallaxis albescens,Synallaxis albescens [albescens Group],Synallaxis albescens australis
836613fffffffff,13.0,0.0,0.0
8366a5fffffffff,3.0,0.0,0.0
8366b5fffffffff,5.0,0.0,0.0
8366e6fffffffff,3.0,0.0,0.0
836741fffffffff,2.0,0.0,0.0
836743fffffffff,5.0,0.0,0.0
836d69fffffffff,5.0,0.0,0.0
838a31fffffffff,4.0,0.0,0.0
838b71fffffffff,1.0,0.0,0.0
83a944fffffffff,2.0,0.0,0.0
83a945fffffffff,2.0,0.0,0.0
83a946fffffffff,8.0,0.0,0.0
83a961fffffffff,43.0,0.0,0.0
83a964fffffffff,23.0,0.0,0.0
83a965fffffffff,10.0,0.0,0.0
83a96afffffffff,5.0,0.0,0.0
83a96cfffffffff,12.0,0.0,0.0
83a96dfffffffff,3.0,0.0,0.0
83a96efffffffff,4.0,0.0,0.0
83b209fffffffff,3.0,0.0,0.0
83b244fffffffff,1.0,0.0,0.0
83b248fffffffff,23.0,0.0,0.0
83b249fffffffff,54.0,0.0,0.0
83b24afffffffff,3.0,0.0,0.0
83b24bfffffffff,12.0,0.0,0.0
83b24cfffffffff,4.0,0.0,0.0
83b24dfffffffff,246.0,0.0,0.0
83b258fffffffff,3.0,0.0,0.0
83b259fffffffff,1.0,0.0,0.0
83b25efffffffff,2.0,0.0,0.0
83b261fffffffff,13.0,0.0,0.0
83b268fffffffff,5.0,0.0,0.0
83b269fffffffff,27.0,0.0,0.0
83b26afffffffff,2.0,0.0,0.0
83b26bfffffffff,47.0,0.0,0.0
83b26cfffffffff,2.0,0.0,0.0
83b26dfffffffff,18.0,0.0,0.0
83b271fffffffff,2.0,0.0,0.0
83b342fffffffff,4.0,0.0,0.0
83b35efffffffff,8.0,0.0,0.0
83c21bfffffffff,2.0,0.0,0.0
83c2c0fffffffff,2.0,0.0,0.0
83c2c1fffffffff,32.0,0.0,0.0
83c2c3fffffffff,3.0,0.0,0.0
83c2c5fffffffff,2.0,0.0,0.0
83c2c9fffffffff,68.0,0.0,0.0
83c2cafffffffff,1.0,0.0,0.0
83c2cbfffffffff,2.0,0.0,0.0
83c2cdfffffffff,28.0,0.0,0.0
83c2d8fffffffff,6.0,0.0,0.0
83c2d9fffffffff,47.0,0.0,0.0
83c2dbfffffffff,1.0,0.0,0.0
83c2e2fffffffff,2.0,0.0,0.0
83c2e3fffffffff,10.0,0.0,0.0
83c2e9fffffffff,19.0,0.0,0.0
83c2ebfffffffff,11.0,0.0,0.0
83c329fffffffff,8.0,0.0,0.0
83c34bfffffffff,7.0,0.0,0.0
83c355fffffffff,5.0,0.0,0.0
83c356fffffffff,2.0,0.0,0.0
83c376fffffffff,3.0,0.0,0.0
