cell_id,Pandion haliaetus,Pandion haliaetus haliaetus,Pandion haliaetus carolinensis,Pandion haliaetus ridgwayi,Pandion haliaetus cristatus
82139ffffffffff,21.0,0.0,0.0,0.0,0.0
8213a7fffffffff,6.0,0.0,0.0,0.0,0.0
8213affffffffff,5.0,0.0,0.0,0.0,0.0
8213b7fffffffff,62.0,0.0,0.0,0.0,0.0
8214affffffffff,5.0,0.0,0.0,0.0,0.0
821617fffffffff,2.0,0.0,0.0,0.0,0.0
821637fffffffff,2.0,0.0,0.0,0.0,0.0
821717fffffffff,6.0,6.0,0.0,0.0,0.0
82176ffffffffff,2.0,0.0,0.0,0.0,0.0
82178ffffffffff,1.0,0.0,0.0,0.0,0.0
821847fffffffff,17.0,0.0,0.0,0.0,0.0
82184ffffffffff,2242.0,17.0,0.0,0.0,0.0
82185ffffffffff,73.0,0.0,0.0,0.0,0.0
821867fffffffff,11.0,0.0,0.0,0.0,0.0
82186ffffffffff,66.0,0.0,0.0,0.0,0.0
821877fffffffff,29.0,2.0,0.0,0.0,0.0
82190ffffffffff,379.0,82.0,0.0,0.0,0.0
82192ffffffffff,178.0,89.0,0.0,0.0,0.0
821947fffffffff,433.0,79.0,0.0,0.0,0.0
82194ffffffffff,180.0,11.0,0.0,0.0,0.0
821957fffffffff,78.0,6.0,0.0,0.0,0.0
82195ffffffffff,206.0,14.0,0.0,0.0,0.0
82196ffffffffff,110.0,8.0,0.0,0.0,0.0
821977fffffffff,180.0,32.0,0.0,0.0,0.0
821aa7fffffffff,1054.0,0.0,0.0,0.0,0.0
821ab7fffffffff,22.0,0.0,0.0,0.0,0.0
821b87fffffffff,43.0,0.0,0.0,0.0,0.0
821b8ffffffffff,4.0,0.0,0.0,0.0,0.0
821b97fffffffff,103.0,0.0,0.0,0.0,0.0
821b9ffffffffff,201.0,0.0,0.0,0.0,0.0
821bb7fffffffff,21.0,0.0,0.0,0.0,0.0
821e07fffffffff,261.0,8.0,0.0,0.0,0.0
821e0ffffffffff,68.0,0.0,0.0,0.0,0.0
821e17fffffffff,85.0,2.0,0.0,0.0,0.0
821e1ffffffffff,57.0,0.0,0.0,0.0,0.0
821e27fffffffff,116.0,0.0,0.0,0.0,0.0
821e2ffffffffff,48.0,0.0,0.0,0.0,0.0
821e37fffffffff,192.0,10.0,0.0,0.0,0.0
821e4ffffffffff,5.0,0.0,0.0,0.0,0.0
821e57fffffffff,4.0,0.0,0.0,0.0,0.0
821e5ffffffffff,30.0,1.0,0.0,0.0,0.0
821e67fffffffff,8.0,0.0,0.0,0.0,0.0
821e6ffffffffff,9.0,0.0,0.0,0.0,0.0
821e77fffffffff,3.0,0.0,0.0,0.0,0.0
821e87fffffffff,73.0,0.0,0.0,0.0,0.0
821e8ffffffffff,2.0,0.0,0.0,0.0,0.0
821e97fffffffff,15.0,0.0,0.0,0.0,0.0
821ea7fffffffff,33.0,2.0,0.0,0.0,0.0
821eaffffffffff,13.0,1.0,0.0,0.0,0.0
821eb7fffffffff,75.0,8.0,0.0,0.0,0.0
821ec7fffffffff,79.0,5.0,0.0,0.0,0.0
821ecffffffffff,276.0,13.0,0.0,0.0,0.0
821ed7fffffffff,70.0,1.0,0.0,0.0,0.0
821edffffffffff,36.0,3.0,0.0,0.0,0.0
821ee7fffffffff,16.0,0.0,0.0,0.0,0.0
821eeffffffffff,275.0,12.0,0.0,0.0,0.0
821ef7fffffffff,20.0,3.0,0.0,0.0,0.0
821f07fffffffff,333.0,73.0,0.0,0.0,0.0
821f0ffffffffff,12.0,0.0,0.0,0.0,0.0
821f17fffffffff,68.0,6.0,0.0,0.0,0.0
821f1ffffffffff,314.0,22.0,0.0,0.0,0.0
821f27fffffffff,120.0,20.0,0.0,0.0,0.0
821f2ffffffffff,272.0,70.0,0.0,0.0,0.0
821f37fffffffff,47.0,14.0,0.0,0.0,0.0
821f47fffffffff,10.0,0.0,0.0,0.0,0.0
821f4ffffffffff,26.0,0.0,0.0,0.0,0.0
821f57fffffffff,59.0,0.0,0.0,0.0,0.0
821f5ffffffffff,15.0,0.0,0.0,0.0,0.0
821f67fffffffff,27.0,0.0,0.0,0.0,0.0
821f6ffffffffff,22.0,0.0,0.0,0.0,0.0
821f77fffffffff,35.0,2.0,0.0,0.0,0.0
821f87fffffffff,70.0,3.0,0.0,0.0,0.0
821f8ffffffffff,58.0,6.0,0.0,0.0,0.0
821f97fffffffff,19.0,13.0,0.0,0.0,0.0
821f9ffffffffff,28.0,2.0,0.0,0.0,0.0
821fa7fffffffff,60.0,11.0,0.0,0.0,0.0
