cell_id,Myiopsitta monachus,Myiopsitta monachus [monachus Group],Myiopsitta monachus luchsi
83194afffffffff,2.0,0.0,0.0
831969fffffffff,2.0,0.0,0.0
831e06fffffffff,7.0,0.0,0.0
831e80fffffffff,9.0,9.0,0.0
831fb4fffffffff,2.0,0.0,0.0
832640fffffffff,3.0,0.0,0.0
832659fffffffff,1.0,0.0,0.0
832664fffffffff,32.0,0.0,0.0
8326c8fffffffff,2.0,0.0,0.0
8326defffffffff,7.0,2.0,0.0
832759fffffffff,46.0,0.0,0.0
83275dfffffffff,2.0,0.0,0.0
8328d5fffffffff,1.0,0.0,0.0
8328d6fffffffff,2.0,0.0,0.0
8328f0fffffffff,27.0,0.0,0.0
8329a0fffffffff,3.0,0.0,0.0
8329a1fffffffff,1.0,0.0,0.0
8329a4fffffffff,11.0,1.0,0.0
8329a6fffffffff,1.0,0.0,0.0
832a10fffffffff,552.0,41.0,0.0
832a12fffffffff,2.0,0.0,0.0
832a13fffffffff,25.0,0.0,0.0
832a14fffffffff,40.0,4.0,0.0
832a15fffffffff,2.0,0.0,0.0
832a30fffffffff,137.0,6.0,0.0
832a33fffffffff,5.0,0.0,0.0
832a36fffffffff,2.0,0.0,0.0
832a8efffffffff,2.0,0.0,0.0
832a94fffffffff,2.0,0.0,0.0
832aa4fffffffff,9.0,0.0,0.0
832aa5fffffffff,2.0,0.0,0.0
832aa8fffffffff,12.0,0.0,0.0
832aaafffffffff,1.0,0.0,0.0
832aacfffffffff,2.0,0.0,0.0
832aadfffffffff,5.0,1.0,0.0
832ad0fffffffff,25.0,0.0,0.0
832ad3fffffffff,2.0,0.0,0.0
832af6fffffffff,13.0,0.0,0.0
832b89fffffffff,3.0,0.0,0.0
832b99fffffffff,18.0,0.0,0.0
832db2fffffffff,4.0,0.0,0.0
83346bfffffffff,1.0,1.0,0.0
833900fffffffff,28.0,0.0,0.0
833903fffffffff,18.0,0.0,0.0
83390cfffffffff,1.0,0.0,0.0
833919fffffffff,2.0,1.0,0.0
83391afffffffff,2.0,0.0,0.0
83391dfffffffff,4.0,0.0,0.0
833921fffffffff,3.0,0.0,0.0
833922fffffffff,18.0,0.0,0.0
83392dfffffffff,2.0,0.0,0.0
833933fffffffff,6.0,0.0,0.0
833944fffffffff,20.0,16.0,0.0
833954fffffffff,5.0,3.0,0.0
833974fffffffff,2.0,0.0,0.0
833976fffffffff,13.0,0.0,0.0
833e68fffffffff,9.0,0.0,0.0
8341a5fffffffff,23.0,0.0,0.0
834413fffffffff,1.0,0.0,0.0
83441afffffffff,39.0,10.0,0.0
83441efffffffff,25.0,2.0,0.0
834446fffffffff,27.0,0.0,0.0
83446cfffffffff,17.0,6.0,0.0
83446efffffffff,4.0,0.0,0.0
834484fffffffff,4.0,0.0,0.0
8344a1fffffffff,3.0,0.0,0.0
8344a3fffffffff,296.0,0.0,0.0
8344a8fffffffff,7.0,0.0,0.0
8344a9fffffffff,26.0,0.0,0.0
8344adfffffffff,4.0,0.0,0.0
8344aefffffffff,1.0,0.0,0.0
8344d5fffffffff,3.0,0.0,0.0
8344d9fffffffff,2.0,0.0,0.0
8344defffffffff,1.0,0.0,0.0
8344e3fffffffff,29.0,0.0,0.0
8344f0fffffffff,29.0,0.0,0.0
8344f4fffffffff,2.0,0.0,0.0
8344f6fffffffff,2.0,0.0,0.0
8345a3fffffffff,3.0,0.0,0.0
83480dfffffffff,2.0,0.0,0.0
834814fffffffff,7.0,5.0,0.0
83482afffffffff,33.0,0.0,0.0
834833fffffffff,6.0,0.0,0.0
834856fffffffff,1.0,0.0,0.0
834859fffffffff,1.0,0.0,0.0
83485bfffffffff,75.0,3.0,0.0
834871fffffffff,1.0,0.0,0.0
834873fffffffff,32.0,0.0,0.0
834880fffffffff,38.0,2.0,0.0
834886fffffffff,4.0,0.0,0.0
834890fffffffff,2.0,0.0,0.0
834892fffffffff,1.0,0.0,0.0
834893fffffffff,8.0,0.0,0.0
834895fffffffff,32.0,2.0,0.0
834898fffffffff,2.0,0.0,0.0
83489efffffffff,14.0,0.0,0.0
8348a2fffffffff,5.0,0.0,0.0
8348b2fffffffff,46.0,4.0,0.0
8348b3fffffffff,144.0,9.0,0.0
8348c6fffffffff,22.0,2.0,0.0
8348d6fffffffff,1.0,0.0,0.0
8348d8fffffffff,5.0,0.0,0.0
8348dcfffffffff,5.0,0.0,0.0
8348e3fffffffff,1.0,0.0,0.0
8348e9fffffffff,1.0,0.0,0.0
8348ebfffffffff,45.0,0.0,0.0
8348eefffffffff,4.0,0.0,0.0
83498bfffffffff,5.0,0.0,0.0
83498cfffffffff,4.0,0.0,0.0
834990fffffffff,1.0,0.0,0.0
834994fffffffff,3.0,0.0,0.0
834995fffffffff,35.0,2.0,0.0
834996fffffffff,22.0,0.0,0.0
8349a9fffffffff,2.0,0.0,0.0
8349aafffffffff,1.0,0.0,0.0
8349b0fffffffff,3.0,0.0,0.0
8349b3fffffffff,88.0,0.0,0.0
8349b5fffffffff,2.0,0.0,0.0
834ba0fffffffff,4.0,0.0,0.0
834bb5fffffffff,2.0,0.0,0.0
834cc5fffffffff,6.0,5.0,0.0
834ce8fffffffff,9.0,0.0,0.0
834ceafffffffff,17.0,0.0,0.0
834ceefffffffff,6.0,2.0,0.0
836526fffffffff,32.0,0.0,0.0
836d23fffffffff,5.0,0.0,0.0
836d25fffffffff,6.0,0.0,0.0
836d32fffffffff,3.0,0.0,0.0
836d34fffffffff,32.0,0.0,0.0
838b20fffffffff,11.0,0.0,8.0
838b25fffffffff,2.0,0.0,2.0
83a80cfffffffff,1.0,0.0,0.0
83a811fffffffff,10.0,0.0,0.0
83a859fffffffff,1.0,0.0,0.0
83a865fffffffff,2.0,0.0,0.0
83a918fffffffff,2.0,0.0,0.0
83a92cfffffffff,1.0,0.0,0.0
83a92efffffffff,1.0,0.0,0.0
83a943fffffffff,2.0,0.0,0.0
83a94efffffffff,3.0,0.0,0.0
83a961fffffffff,147.0,0.0,0.0
83a965fffffffff,33.0,0.0,0.0
83a96cfffffffff,32.0,0.0,0.0
83a96dfffffffff,3.0,0.0,0.0
83a96efffffffff,3.0,0.0,0.0
83b201fffffffff,20.0,0.0,0.0
83b219fffffffff,6.0,0.0,0.0
83b226fffffffff,16.0,0.0,0.0
83b243fffffffff,1.0,1.0,0.0
83b248fffffffff,71.0,0.0,0.0
83b249fffffffff,166.0,0.0,0.0
83b24bfffffffff,21.0,0.0,0.0
83b24cfffffffff,3.0,0.0,0.0
83b24dfffffffff,1810.0,0.0,0.0
83b261fffffffff,17.0,0.0,0.0
83b268fffffffff,62.0,0.0,0.0
83b269fffffffff,125.0,0.0,0.0
83b26afffffffff,13.0,0.0,0.0
83b26bfffffffff,213.0,0.0,0.0
83b26cfffffffff,3.0,0.0,0.0
83b26dfffffffff,133.0,0.0,0.0
83b26efffffffff,3.0,0.0,0.0
83b270fffffffff,2.0,0.0,0.0
83b2c1fffffffff,3.0,0.0,0.0
83b2c4fffffffff,2.0,0.0,0.0
83b2c5fffffffff,6.0,0.0,0.0
83b2d9fffffffff,1.0,0.0,0.0
83b2ddfffffffff,3.0,0.0,0.0
83b2e1fffffffff,3.0,3.0,0.0
83b2e2fffffffff,3.0,0.0,0.0
83b2ecfffffffff,3.0,3.0,0.0
83b30bfffffffff,1.0,0.0,0.0
83b319fffffffff,2.0,0.0,0.0
83b32dfffffffff,3.0,0.0,2.0
83b342fffffffff,1.0,0.0,0.0
83b35efffffffff,13.0,0.0,0.0
83b368fffffffff,4.0,0.0,0.0
83c21bfffffffff,2.0,0.0,0.0
83c2c1fffffffff,5.0,0.0,0.0
83c2c5fffffffff,67.0,8.0,0.0
83c2c9fffffffff,312.0,0.0,0.0
83c2cbfffffffff,3.0,0.0,0.0
83c2cdfffffffff,290.0,0.0,0.0
83c2d0fffffffff,6.0,0.0,0.0
83c2d3fffffffff,3.0,0.0,0.0
83c2d4fffffffff,2.0,0.0,0.0
83c2d5fffffffff,2.0,0.0,0.0
83c2d6fffffffff,2.0,0.0,0.0
83c2e0fffffffff,4.0,3.0,0.0
83c2e3fffffffff,2.0,0.0,0.0
83c2e9fffffffff,114.0,0.0,0.0
83c2ebfffffffff,51.0,0.0,0.0
83c2f3fffffffff,43.0,0.0,0.0
83c34bfffffffff,44.0,0.0,0.0
83ce8afffffffff,15.0,0.0,0.0
83cfa4fffffffff,4.0,0.0,0.0
