cell_id,Petroica macrocephala,Petroica macrocephala [macrocephala Group],Petroica macrocephala dannefaerdi
84ba241ffffffff,2.0,2.0,0.0
84ba249ffffffff,2.0,0.0,0.0
84bb081ffffffff,76.0,41.0,0.0
84bb083ffffffff,26.0,12.0,0.0
84bb087ffffffff,12.0,8.0,0.0
84bb089ffffffff,6.0,0.0,0.0
84bb08bffffffff,37.0,24.0,0.0
84bb091ffffffff,141.0,71.0,0.0
84bb093ffffffff,129.0,73.0,0.0
84bb095ffffffff,22.0,7.0,0.0
84bb097ffffffff,86.0,65.0,0.0
84bb099ffffffff,174.0,109.0,0.0
84bb09bffffffff,34.0,16.0,0.0
84bb09dffffffff,8.0,2.0,0.0
84bb0a3ffffffff,4.0,4.0,0.0
84bb0a7ffffffff,16.0,16.0,0.0
84bb0b1ffffffff,16.0,9.0,0.0
84bb0b5ffffffff,1.0,1.0,0.0
84bb0b9ffffffff,43.0,22.0,0.0
84bb0bbffffffff,68.0,45.0,0.0
84bb0bdffffffff,17.0,12.0,0.0
84bb0cbffffffff,2.0,2.0,0.0
84bb0d1ffffffff,4.0,4.0,0.0
84bb0d3ffffffff,91.0,48.0,0.0
84bb0d5ffffffff,193.0,179.0,0.0
84bb0d7ffffffff,16.0,11.0,0.0
84bb0d9ffffffff,8.0,8.0,0.0
84bb0dbffffffff,18.0,11.0,0.0
84bb0ddffffffff,302.0,248.0,0.0
84bb283ffffffff,46.0,38.0,0.0
84bb287ffffffff,9.0,9.0,0.0
84bb291ffffffff,171.0,91.0,0.0
84bb293ffffffff,318.0,283.0,0.0
84bb295ffffffff,411.0,353.0,0.0
84bb299ffffffff,2.0,2.0,0.0
84bb29bffffffff,89.0,85.0,0.0
84bb2b1ffffffff,146.0,107.0,0.0
84bb2b3ffffffff,201.0,190.0,0.0
84bb2b5ffffffff,5.0,4.0,0.0
84bb2b7ffffffff,82.0,70.0,0.0
84bb2b9ffffffff,16.0,13.0,0.0
84bb2bbffffffff,153.0,116.0,0.0
84bb2bdffffffff,150.0,127.0,0.0
