cell_id,Zentrygon linearis,Zentrygon linearis linearis,Zentrygon linearis trinitatis
845f487ffffffff,5.0,0.0,0.0
845f4a7ffffffff,2.0,0.0,0.0
845f4b9ffffffff,2.0,0.0,1.0
845f4bdffffffff,2.0,0.0,0.0
846601bffffffff,42.0,1.0,0.0
8466085ffffffff,3.0,0.0,0.0
8466089ffffffff,14.0,0.0,0.0
846608dffffffff,523.0,12.0,0.0
846609dffffffff,2.0,0.0,0.0
84660b9ffffffff,1.0,0.0,0.0
84660bdffffffff,12.0,0.0,0.0
84660c3ffffffff,2.0,0.0,0.0
84660c7ffffffff,8.0,0.0,0.0
84660cbffffffff,4.0,0.0,0.0
84660ddffffffff,20.0,0.0,0.0
8466183ffffffff,33.0,0.0,0.0
8466189ffffffff,6.0,0.0,0.0
846618bffffffff,2.0,0.0,0.0
8466193ffffffff,8.0,0.0,0.0
8466195ffffffff,2.0,0.0,0.0
8466197ffffffff,2.0,0.0,0.0
846619bffffffff,4.0,0.0,0.0
846619dffffffff,40.0,0.0,0.0
84661b3ffffffff,1.0,0.0,0.0
84661b9ffffffff,10.0,0.0,0.0
84661bbffffffff,4.0,0.0,0.0
84661c3ffffffff,2.0,0.0,0.0
84661d1ffffffff,136.0,0.0,0.0
8466203ffffffff,6.0,0.0,0.0
8466205ffffffff,2.0,0.0,0.0
8466207ffffffff,7.0,0.0,0.0
846620dffffffff,1.0,0.0,0.0
8466211ffffffff,1.0,0.0,0.0
8466213ffffffff,3.0,0.0,0.0
8466217ffffffff,238.0,0.0,0.0
846622bffffffff,2325.0,86.0,0.0
846623dffffffff,51.0,11.0,0.0
8466291ffffffff,37.0,0.0,0.0
8466295ffffffff,2.0,0.0,0.0
8466299ffffffff,5.0,0.0,0.0
846629dffffffff,13.0,0.0,0.0
84662b1ffffffff,7.0,0.0,0.0
84662b7ffffffff,2.0,0.0,0.0
84662b9ffffffff,2.0,0.0,0.0
84662d3ffffffff,10.0,0.0,0.0
84662e1ffffffff,1.0,0.0,0.0
84662e9ffffffff,1.0,0.0,0.0
8466313ffffffff,5.0,0.0,0.0
8466c05ffffffff,1.0,0.0,0.0
8466c0dffffffff,48.0,0.0,0.0
8466c2dffffffff,1.0,0.0,0.0
8466c41ffffffff,2.0,0.0,0.0
8466c49ffffffff,3.0,0.0,0.0
8466c4bffffffff,4.0,0.0,0.0
8466c63ffffffff,59.0,0.0,0.0
8466c6bffffffff,1.0,0.0,0.0
8466e03ffffffff,1.0,0.0,0.0
8466e07ffffffff,2.0,0.0,0.0
8466e09ffffffff,5.0,0.0,0.0
8466e0bffffffff,143.0,0.0,0.0
8466e0dffffffff,10.0,0.0,0.0
8466e2dffffffff,2.0,0.0,0.0
8466e3dffffffff,9.0,0.0,0.0
8466e41ffffffff,16.0,4.0,0.0
8466e43ffffffff,3.0,0.0,0.0
8466e45ffffffff,4.0,0.0,0.0
8466e47ffffffff,253.0,0.0,0.0
8466e51ffffffff,6.0,0.0,0.0
8466e55ffffffff,46.0,0.0,0.0
8466e57ffffffff,3.0,0.0,0.0
8466e59ffffffff,53.0,0.0,0.0
8466e5dffffffff,4.0,0.0,0.0
8466e61ffffffff,7.0,0.0,0.0
8466e65ffffffff,22.0,0.0,0.0
8466e67ffffffff,10.0,0.0,0.0
8466e69ffffffff,1.0,0.0,0.0
8466e6dffffffff,43.0,0.0,0.0
8467413ffffffff,66.0,0.0,0.0
8467417ffffffff,174.0,0.0,0.0
8467437ffffffff,26.0,0.0,0.0
846743bffffffff,1.0,0.0,0.0
84674c5ffffffff,2.0,0.0,0.0
84674d9ffffffff,1.0,0.0,0.0
84674e9ffffffff,60.0,0.0,0.0
84674ebffffffff,3.0,0.0,0.0
84674edffffffff,43.0,2.0,0.0
84675a5ffffffff,24.0,0.0,0.0
84675adffffffff,104.0,0.0,0.0
84675c1ffffffff,11.0,0.0,0.0
84675c7ffffffff,7.0,0.0,0.0
84675c9ffffffff,9.0,0.0,0.0
84675cbffffffff,7.0,0.0,0.0
84675ebffffffff,36.0,0.0,0.0
