cell_id,Colaptes rubiginosus,Colaptes rubiginosus aeruginosus,Colaptes rubiginosus [rubiginosus Group],Colaptes rubiginosus rubripileus
834424fffffffff,7.0,0.0,0.0,0.0
834501fffffffff,179.0,0.0,2.0,0.0
834505fffffffff,83.0,0.0,0.0,0.0
834508fffffffff,326.0,0.0,22.0,0.0
834509fffffffff,90.0,0.0,32.0,0.0
83450afffffffff,573.0,0.0,22.0,0.0
83450bfffffffff,203.0,0.0,28.0,0.0
83450cfffffffff,39.0,0.0,2.0,0.0
83450dfffffffff,272.0,0.0,144.0,0.0
83450efffffffff,216.0,0.0,21.0,0.0
834520fffffffff,380.0,0.0,0.0,0.0
834521fffffffff,348.0,0.0,2.0,0.0
834522fffffffff,90.0,0.0,0.0,0.0
834523fffffffff,244.0,0.0,0.0,0.0
834524fffffffff,1387.0,0.0,0.0,0.0
834525fffffffff,211.0,0.0,0.0,0.0
834526fffffffff,1714.0,0.0,0.0,0.0
834528fffffffff,700.0,0.0,27.0,0.0
834529fffffffff,12.0,0.0,2.0,0.0
83452afffffffff,1450.0,0.0,13.0,0.0
83452bfffffffff,95.0,0.0,7.0,0.0
83452cfffffffff,824.0,0.0,90.0,0.0
83452dfffffffff,176.0,0.0,23.0,0.0
83452efffffffff,5626.0,0.0,67.0,0.0
834530fffffffff,27.0,0.0,0.0,0.0
834531fffffffff,10.0,0.0,0.0,0.0
834532fffffffff,2.0,0.0,0.0,0.0
834534fffffffff,130.0,0.0,0.0,0.0
834535fffffffff,272.0,0.0,0.0,0.0
834536fffffffff,37.0,0.0,0.0,0.0
834564fffffffff,47.0,0.0,5.0,0.0
834572fffffffff,76.0,0.0,36.0,0.0
834576fffffffff,13.0,0.0,2.0,0.0
8348a2fffffffff,372.0,118.0,0.0,0.0
8348a6fffffffff,7.0,6.0,0.0,0.0
8348b5fffffffff,6.0,2.0,0.0,0.0
834990fffffffff,35.0,7.0,0.0,0.0
834991fffffffff,34.0,19.0,0.0,0.0
834993fffffffff,5.0,4.0,0.0,0.0
834996fffffffff,1510.0,798.0,0.0,0.0
834998fffffffff,336.0,182.0,0.0,0.0
83499afffffffff,2.0,0.0,0.0,0.0
83499bfffffffff,22.0,7.0,0.0,0.0
83499cfffffffff,39.0,7.0,0.0,0.0
83499efffffffff,25.0,14.0,0.0,0.0
835f00fffffffff,7.0,0.0,0.0,0.0
835f01fffffffff,2.0,0.0,0.0,0.0
835f03fffffffff,125.0,0.0,2.0,0.0
835f12fffffffff,1.0,0.0,0.0,0.0
835f14fffffffff,2.0,0.0,0.0,0.0
835f29fffffffff,1.0,0.0,0.0,0.0
835f40fffffffff,2.0,0.0,0.0,0.0
835f42fffffffff,6.0,0.0,0.0,0.0
835f48fffffffff,2.0,0.0,1.0,0.0
835f4afffffffff,25.0,0.0,0.0,0.0
835f4bfffffffff,22.0,0.0,0.0,0.0
835f54fffffffff,2.0,0.0,0.0,0.0
835f58fffffffff,1010.0,0.0,0.0,0.0
835f59fffffffff,3.0,0.0,0.0,0.0
835f5bfffffffff,422.0,0.0,0.0,0.0
835f70fffffffff,3.0,0.0,0.0,0.0
835f71fffffffff,81.0,0.0,1.0,0.0
835f75fffffffff,23.0,0.0,0.0,0.0
836601fffffffff,73.0,0.0,0.0,0.0
836605fffffffff,1.0,0.0,1.0,0.0
836608fffffffff,263.0,0.0,0.0,0.0
836609fffffffff,5.0,0.0,0.0,0.0
83660afffffffff,4.0,0.0,0.0,0.0
83660bfffffffff,113.0,0.0,0.0,0.0
83660cfffffffff,58.0,0.0,0.0,0.0
83660dfffffffff,23.0,0.0,0.0,0.0
836611fffffffff,2.0,0.0,0.0,0.0
836618fffffffff,438.0,0.0,0.0,0.0
836619fffffffff,1125.0,0.0,0.0,0.0
83661bfffffffff,2643.0,0.0,71.0,0.0
83661cfffffffff,4.0,0.0,0.0,0.0
83661dfffffffff,279.0,0.0,0.0,0.0
83661efffffffff,4.0,0.0,0.0,0.0
836620fffffffff,1748.0,0.0,66.0,0.0
836621fffffffff,242.0,0.0,0.0,0.0
836622fffffffff,101.0,0.0,0.0,0.0
836623fffffffff,34.0,0.0,6.0,0.0
836629fffffffff,150.0,0.0,7.0,0.0
83662bfffffffff,28.0,0.0,0.0,0.0
83662dfffffffff,14.0,0.0,0.0,0.0
83662efffffffff,19.0,0.0,0.0,0.0
836631fffffffff,5.0,0.0,0.0,0.0
836650fffffffff,3.0,0.0,0.0,0.0
836652fffffffff,1.0,0.0,0.0,0.0
836656fffffffff,18.0,0.0,0.0,0.0
836672fffffffff,5.0,0.0,0.0,0.0
836673fffffffff,1.0,0.0,0.0,0.0
8366a0fffffffff,60.0,0.0,0.0,0.0
8366a3fffffffff,29.0,0.0,2.0,0.0
8366b4fffffffff,2624.0,0.0,0.0,0.0
8366b5fffffffff,1053.0,0.0,10.0,0.0
8366c0fffffffff,84.0,0.0,0.0,0.0
8366c2fffffffff,74.0,0.0,0.0,0.0
8366c4fffffffff,40.0,0.0,0.0,0.0
8366c6fffffffff,769.0,0.0,2.0,0.0
8366d0fffffffff,148.0,0.0,0.0,1.0
8366d1fffffffff,5.0,0.0,0.0,0.0
8366d2fffffffff,53.0,0.0,0.0,0.0
8366d3fffffffff,3861.0,0.0,0.0,357.0
8366d5fffffffff,11.0,0.0,0.0,0.0
8366dafffffffff,31.0,0.0,0.0,0.0
8366defffffffff,920.0,0.0,91.0,0.0
8366e0fffffffff,223.0,0.0,0.0,0.0
8366e1fffffffff,6.0,0.0,0.0,0.0
8366e2fffffffff,8.0,0.0,0.0,0.0
8366e3fffffffff,6.0,0.0,0.0,0.0
8366e4fffffffff,51.0,0.0,0.0,0.0
8366e5fffffffff,226.0,0.0,0.0,0.0
8366e6fffffffff,4135.0,0.0,85.0,0.0
8366eefffffffff,3.0,0.0,0.0,0.0
8366f0fffffffff,49.0,0.0,0.0,0.0
8366f1fffffffff,1926.0,0.0,19.0,0.0
8366f3fffffffff,15.0,0.0,0.0,0.0
8366f5fffffffff,909.0,0.0,2.0,0.0
836741fffffffff,486.0,0.0,0.0,0.0
836742fffffffff,1.0,0.0,0.0,0.0
836743fffffffff,239.0,0.0,10.0,0.0
83674cfffffffff,98.0,0.0,0.0,0.0
83674efffffffff,264.0,0.0,0.0,0.0
836751fffffffff,20.0,0.0,0.0,0.0
83675afffffffff,44.0,0.0,0.0,0.0
83675cfffffffff,36.0,0.0,2.0,0.0
83675efffffffff,46.0,0.0,0.0,0.0
836790fffffffff,7.0,0.0,0.0,0.0
836792fffffffff,28.0,0.0,0.0,0.0
836793fffffffff,2.0,0.0,0.0,0.0
