cell_id,Horornis flavolivaceus,Horornis flavolivaceus [vulcanius Group],Horornis flavolivaceus [flavolivaceus Group],Horornis flavolivaceus intricatus/oblitus
833c02fffffffff,3.0,0.0,0.0,0.0
833c0afffffffff,4.0,0.0,1.0,0.0
833c0bfffffffff,1.0,0.0,0.0,0.0
833c19fffffffff,2.0,0.0,0.0,0.0
833c1cfffffffff,2.0,0.0,0.0,0.0
833c1dfffffffff,30.0,0.0,0.0,0.0
833c58fffffffff,14.0,0.0,0.0,0.0
833c5afffffffff,14.0,0.0,1.0,0.0
833ce4fffffffff,2.0,0.0,0.0,0.0
833ce5fffffffff,1.0,0.0,0.0,0.0
833cedfffffffff,1.0,0.0,0.0,0.0
833d13fffffffff,2.0,0.0,0.0,0.0
833d1afffffffff,3.0,0.0,0.0,0.0
833d1efffffffff,3.0,0.0,1.0,0.0
833d33fffffffff,1.0,0.0,0.0,0.0
833d34fffffffff,5.0,0.0,0.0,0.0
833da9fffffffff,3.0,0.0,0.0,0.0
836811fffffffff,6.0,6.0,0.0,0.0
