cell_id,Athene cunicularia,Athene cunicularia hypugaea/rostrata,Athene cunicularia floridana,Athene cunicularia [guadeloupensis Group],Athene cunicularia [tolimae Group],Athene cunicularia nanodes/juninensis,Athene cunicularia grallaria,Athene cunicularia [cunicularia Group]
8312c9fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832602fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832610fffffffff,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832611fffffffff,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
832612fffffffff,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832613fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832614fffffffff,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832615fffffffff,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832616fffffffff,338.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832618fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832619fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83261afffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83261bfffffffff,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83261cfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83261efffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832622fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832630fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832632fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832633fffffffff,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832634fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832636fffffffff,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832681fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832682fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832684fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832685fffffffff,219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832686fffffffff,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832688fffffffff,1305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832689fffffffff,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83268afffffffff,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83268bfffffffff,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83268cfffffffff,563.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83268dfffffffff,701.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832691fffffffff,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832692fffffffff,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
