cell_id,Chroicocephalus novaehollandiae,Chroicocephalus novaehollandiae novaehollandiae/forsteri,Chroicocephalus novaehollandiae scopulinus
84941a1ffffffff,2.0,0.0,0.0
84944a1ffffffff,2.0,0.0,0.0
84944bdffffffff,2.0,0.0,0.0
8494501ffffffff,42.0,12.0,0.0
849450bffffffff,213.0,78.0,0.0
8494511ffffffff,4.0,4.0,0.0
849451dffffffff,1637.0,726.0,0.0
8494551ffffffff,11.0,1.0,0.0
84945c7ffffffff,2.0,1.0,0.0
84945ebffffffff,3.0,2.0,0.0
8494801ffffffff,88.0,34.0,0.0
8494803ffffffff,1646.0,656.0,0.0
8494807ffffffff,51.0,16.0,0.0
8494809ffffffff,10.0,0.0,0.0
849480bffffffff,122.0,49.0,0.0
849481dffffffff,13.0,1.0,0.0
8494825ffffffff,48.0,5.0,0.0
8494855ffffffff,14.0,5.0,0.0
8494859ffffffff,22.0,4.0,0.0
849485bffffffff,28.0,6.0,0.0
849485dffffffff,2.0,0.0,0.0
8494901ffffffff,2.0,1.0,0.0
8494903ffffffff,19.0,6.0,0.0
8494919ffffffff,20.0,6.0,0.0
849491dffffffff,6.0,4.0,0.0
8494963ffffffff,19.0,6.0,0.0
8494965ffffffff,1.0,1.0,0.0
8494967ffffffff,2.0,1.0,0.0
8494aa7ffffffff,27.0,8.0,0.0
8494ac7ffffffff,8.0,7.0,0.0
8494ae3ffffffff,40.0,13.0,0.0
8494ae7ffffffff,4.0,2.0,0.0
8494c49ffffffff,9.0,8.0,0.0
8494e29ffffffff,40.0,9.0,0.0
8494e2bffffffff,5.0,1.0,0.0
8494e2dffffffff,1.0,1.0,0.0
8494f21ffffffff,2.0,2.0,0.0
849c001ffffffff,6.0,4.0,0.0
849c005ffffffff,7.0,2.0,0.0
849c009ffffffff,30.0,16.0,0.0
849c00bffffffff,9.0,5.0,0.0
849c043ffffffff,1.0,0.0,0.0
849c055ffffffff,2.0,2.0,0.0
849c05dffffffff,27.0,12.0,0.0
849c0e5ffffffff,2.0,0.0,0.0
849c191ffffffff,135.0,68.0,0.0
849c19dffffffff,129.0,70.0,0.0
849c1d1ffffffff,1.0,0.0,0.0
849c201ffffffff,2.0,2.0,0.0
849c203ffffffff,7.0,6.0,0.0
849c20bffffffff,2.0,0.0,0.0
849c215ffffffff,4.0,4.0,0.0
849c231ffffffff,2230.0,1121.0,0.0
849c233ffffffff,4.0,4.0,0.0
849c235ffffffff,248.0,143.0,0.0
849c237ffffffff,242.0,145.0,0.0
849c239ffffffff,10.0,9.0,0.0
849c23dffffffff,97.0,43.0,0.0
849c241ffffffff,2.0,0.0,0.0
849c255ffffffff,36.0,22.0,0.0
849c25dffffffff,11.0,9.0,0.0
849c417ffffffff,1.0,1.0,0.0
849c431ffffffff,9.0,6.0,0.0
849c433ffffffff,1.0,1.0,0.0
849c439ffffffff,10.0,8.0,0.0
849c43bffffffff,5.0,3.0,0.0
849c581ffffffff,14.0,6.0,0.0
849c583ffffffff,1.0,1.0,0.0
849c585ffffffff,2.0,0.0,0.0
849c587ffffffff,4.0,4.0,0.0
849c589ffffffff,19.0,9.0,0.0
849c58dffffffff,4.0,0.0,0.0
849c5a7ffffffff,41.0,35.0,0.0
849c5bdffffffff,2.0,2.0,0.0
849c5d7ffffffff,4.0,0.0,0.0
849c5e3ffffffff,2.0,0.0,0.0
849c65dffffffff,2.0,0.0,0.0
849c6c1ffffffff,3.0,0.0,0.0
849c743ffffffff,55.0,20.0,0.0
849c747ffffffff,25.0,11.0,0.0
849ce2dffffffff,4.0,0.0,0.0
849ce47ffffffff,38.0,9.0,0.0
849ce63ffffffff,2.0,2.0,0.0
849ce9bffffffff,121.0,103.0,0.0
849cf19ffffffff,49.0,35.0,0.0
849cf39ffffffff,13.0,9.0,0.0
849cf53ffffffff,59.0,42.0,0.0
849d013ffffffff,29.0,23.0,0.0
849d01bffffffff,262.0,46.0,0.0
849d033ffffffff,2.0,2.0,0.0
849d0a3ffffffff,4.0,4.0,0.0
849d0abffffffff,15.0,9.0,0.0
849d0b1ffffffff,8.0,4.0,0.0
849d0b5ffffffff,235.0,115.0,0.0
849d0b7ffffffff,65.0,29.0,0.0
849d0bdffffffff,38.0,17.0,0.0
849d0c9ffffffff,2.0,2.0,0.0
849d0e1ffffffff,76.0,18.0,0.0
849d0e3ffffffff,72.0,23.0,0.0
849d0e9ffffffff,6.0,4.0,0.0
849d0edffffffff,23.0,13.0,0.0
849d201ffffffff,64.0,31.0,0.0
849d203ffffffff,11.0,11.0,0.0
849d211ffffffff,53.0,34.0,0.0
849d215ffffffff,56.0,18.0,0.0
849d217ffffffff,8.0,2.0,0.0
849d21dffffffff,46.0,25.0,0.0
849d233ffffffff,4.0,4.0,0.0
849d23bffffffff,28.0,17.0,0.0
849d241ffffffff,170.0,80.0,0.0
849d247ffffffff,19.0,9.0,0.0
849d24bffffffff,237.0,40.0,0.0
849d255ffffffff,26.0,20.0,0.0
849d257ffffffff,15.0,9.0,0.0
849d25dffffffff,4.0,0.0,0.0
849d28bffffffff,7.0,3.0,0.0
849d295ffffffff,1.0,0.0,0.0
849d2a5ffffffff,9.0,2.0,0.0
849d2adffffffff,16.0,9.0,0.0
849d2d7ffffffff,19.0,7.0,0.0
849d2e7ffffffff,9.0,0.0,0.0
849d45bffffffff,2.0,0.0,0.0
849d46bffffffff,2.0,2.0,0.0
849d4a1ffffffff,114.0,43.0,0.0
849d4c9ffffffff,2.0,0.0,0.0
849d567ffffffff,2.0,2.0,0.0
849d5dbffffffff,1.0,1.0,0.0
849d625ffffffff,3.0,2.0,0.0
849d68bffffffff,22.0,9.0,0.0
849d6dbffffffff,13.0,12.0,0.0
849d70dffffffff,2.0,2.0,0.0
849e2dbffffffff,3.0,3.0,0.0
849f50bffffffff,4.0,2.0,0.0
849f515ffffffff,2.0,2.0,0.0
849f517ffffffff,2.0,2.0,0.0
849f523ffffffff,2.0,2.0,0.0
849f529ffffffff,2.0,2.0,0.0
849f54bffffffff,5.0,2.0,0.0
849f551ffffffff,26.0,7.0,0.0
849f555ffffffff,6.0,0.0,0.0
849f557ffffffff,79.0,56.0,0.0
849f55dffffffff,22.0,0.0,0.0
849f5a5ffffffff,2.0,2.0,0.0
84a6045ffffffff,2.0,2.0,0.0
84a6049ffffffff,15.0,0.0,0.0
84a604dffffffff,7.0,6.0,0.0
84a6103ffffffff,17.0,7.0,0.0
84a6105ffffffff,6.0,6.0,0.0
84a6107ffffffff,81.0,32.0,0.0
84a6119ffffffff,8.0,0.0,0.0
84a611dffffffff,24.0,14.0,0.0
84a6129ffffffff,53.0,53.0,0.0
