cell_id,Hemixos flavala,Hemixos flavala [flavala Group],Hemixos flavala remotus
823c07fffffffff,11.0,0.0,0.0
823c0ffffffffff,116.0,8.0,0.0
823c17fffffffff,1.0,0.0,0.0
823c1ffffffffff,167.0,2.0,0.0
823c37fffffffff,26.0,0.0,0.0
823c57fffffffff,106.0,0.0,0.0
823c5ffffffffff,989.0,0.0,0.0
823cc7fffffffff,188.0,0.0,0.0
823ccffffffffff,11.0,0.0,0.0
823cdffffffffff,21.0,0.0,0.0
823ce7fffffffff,614.0,0.0,0.0
823ceffffffffff,210.0,0.0,0.0
823d17fffffffff,293.0,0.0,0.0
823d1ffffffffff,13.0,0.0,0.0
823daffffffffff,908.0,0.0,0.0
824047fffffffff,2.0,0.0,0.0
82404ffffffffff,100.0,0.0,0.0
824067fffffffff,46.0,0.0,0.0
82406ffffffffff,51.0,0.0,0.0
824147fffffffff,9.0,0.0,0.0
82414ffffffffff,2.0,1.0,0.0
82415ffffffffff,7.0,1.0,0.0
824167fffffffff,10.0,0.0,0.0
82416ffffffffff,2.0,0.0,0.0
826417fffffffff,303.0,82.0,0.0
826487fffffffff,335.0,112.0,0.0
82648ffffffffff,4.0,2.0,0.0
826497fffffffff,401.0,107.0,0.0
82649ffffffffff,56.0,4.0,0.0
8264a7fffffffff,110.0,36.0,0.0
8264b7fffffffff,107.0,39.0,0.0
82659ffffffffff,450.0,171.0,0.0
8265b7fffffffff,380.0,21.0,56.0
826937fffffffff,40.0,1.0,0.0
