cell_id,Arremon flavirostris,Arremon flavirostris polionotus,Arremon flavirostris flavirostris
8481245ffffffff,8.0,0.0,0.0
848124bffffffff,102.0,0.0,17.0
848124dffffffff,14.0,0.0,4.0
84812d1ffffffff,8.0,0.0,0.0
848162bffffffff,1.0,0.0,0.0
848b201ffffffff,1.0,0.0,0.0
848b203ffffffff,1.0,0.0,0.0
848b205ffffffff,3.0,0.0,0.0
848b20dffffffff,1.0,0.0,0.0
848b229ffffffff,1.0,0.0,0.0
848b305ffffffff,1.0,0.0,0.0
848b345ffffffff,2.0,0.0,0.0
848b363ffffffff,4.0,0.0,0.0
848b365ffffffff,1.0,0.0,0.0
848b369ffffffff,1.0,0.0,0.0
848ba65ffffffff,1.0,0.0,0.0
848ba6dffffffff,2.0,0.0,0.0
848bb59ffffffff,285.0,35.0,0.0
84a8013ffffffff,3.0,0.0,0.0
84a801bffffffff,1.0,0.0,0.0
84a8031ffffffff,2.0,0.0,0.0
84a803dffffffff,4.0,0.0,0.0
84a808dffffffff,5.0,0.0,0.0
84a8095ffffffff,4.0,0.0,0.0
84a80b1ffffffff,1.0,0.0,0.0
84a80bbffffffff,6.0,0.0,0.0
84a80c3ffffffff,15.0,0.0,0.0
84a80c9ffffffff,3.0,0.0,0.0
84a80e1ffffffff,3.0,0.0,0.0
84a8103ffffffff,3.0,0.0,0.0
84a8105ffffffff,1.0,0.0,0.0
84a8113ffffffff,4.0,0.0,0.0
84a8115ffffffff,2.0,0.0,0.0
84a8117ffffffff,10.0,0.0,0.0
84a8131ffffffff,4.0,0.0,0.0
84a8133ffffffff,4.0,0.0,0.0
84a813bffffffff,3.0,0.0,0.0
84a8157ffffffff,5.0,0.0,0.0
84a8185ffffffff,19.0,0.0,1.0
84a8189ffffffff,1.0,0.0,0.0
84a818dffffffff,92.0,0.0,1.0
84a8195ffffffff,5.0,0.0,0.0
84a81a1ffffffff,8.0,0.0,0.0
84a81a5ffffffff,3.0,0.0,1.0
84a81a7ffffffff,3.0,0.0,0.0
84a81a9ffffffff,13.0,0.0,0.0
84a81abffffffff,2.0,0.0,0.0
84a81adffffffff,8.0,0.0,0.0
84a81b1ffffffff,2.0,0.0,0.0
84a81bbffffffff,2.0,0.0,0.0
84a81c3ffffffff,5.0,0.0,0.0
84a81c5ffffffff,2.0,0.0,0.0
84a81c7ffffffff,29.0,0.0,1.0
84a81cdffffffff,73.0,0.0,0.0
84a81d9ffffffff,38.0,1.0,1.0
84a81ddffffffff,1.0,1.0,0.0
84a81e1ffffffff,146.0,0.0,0.0
84a81e3ffffffff,24.0,0.0,0.0
84a81e5ffffffff,2.0,0.0,0.0
84a81e7ffffffff,55.0,0.0,1.0
84a81e9ffffffff,221.0,1.0,0.0
84a81ebffffffff,29.0,0.0,0.0
84a81edffffffff,678.0,0.0,1.0
84a8215ffffffff,2.0,0.0,0.0
84a8287ffffffff,1.0,0.0,0.0
84a828bffffffff,1.0,0.0,0.0
84a8291ffffffff,2.0,0.0,0.0
84a82bdffffffff,2.0,0.0,0.0
84a82d3ffffffff,1.0,1.0,0.0
84a82d7ffffffff,2.0,2.0,0.0
84a82dbffffffff,6.0,0.0,0.0
84a8317ffffffff,1.0,0.0,0.0
84a840dffffffff,55.0,1.0,0.0
84a8411ffffffff,12.0,2.0,0.0
84a8413ffffffff,7.0,0.0,0.0
84a8441ffffffff,19.0,0.0,0.0
84a8447ffffffff,14.0,2.0,0.0
84a8449ffffffff,2.0,0.0,0.0
84a844dffffffff,22.0,0.0,0.0
84a8461ffffffff,1.0,0.0,0.0
84a8463ffffffff,13.0,0.0,0.0
84a8465ffffffff,2.0,0.0,0.0
84a8495ffffffff,1.0,0.0,0.0
84a84d9ffffffff,2.0,0.0,0.0
84a850bffffffff,9.0,0.0,0.0
84a8519ffffffff,2.0,0.0,0.0
84a8559ffffffff,3.0,0.0,0.0
84a8591ffffffff,133.0,7.0,0.0
84a8597ffffffff,2.0,0.0,0.0
84a8599ffffffff,9.0,0.0,0.0
84a85b7ffffffff,2.0,0.0,0.0
84a85d3ffffffff,51.0,0.0,0.0
84a8605ffffffff,32.0,0.0,0.0
84a860dffffffff,29.0,0.0,0.0
84a8629ffffffff,5.0,0.0,0.0
84a8645ffffffff,2.0,0.0,0.0
84a8647ffffffff,2.0,0.0,0.0
84a865bffffffff,2.0,0.0,0.0
84a8663ffffffff,2.0,0.0,0.0
84a8701ffffffff,3.0,0.0,0.0
84a870bffffffff,1.0,0.0,0.0
84a871bffffffff,3.0,0.0,0.0
84a8729ffffffff,1.0,0.0,0.0
84a8763ffffffff,1.0,1.0,0.0
84a8811ffffffff,1.0,0.0,0.0
84a8813ffffffff,2.0,0.0,2.0
84a8817ffffffff,3.0,0.0,2.0
84a8819ffffffff,3.0,0.0,2.0
84a881bffffffff,52.0,0.0,16.0
84a8853ffffffff,2.0,0.0,0.0
