cell_id,Iole propinqua,Iole propinqua [propinqua Group],Iole propinqua innectens
823ccffffffffff,3.0,0.0,0.0
823ceffffffffff,9.0,3.0,0.0
82404ffffffffff,161.0,0.0,0.0
824067fffffffff,89.0,0.0,0.0
82406ffffffffff,8.0,0.0,0.0
824147fffffffff,122.0,7.0,0.0
82414ffffffffff,29.0,3.0,0.0
82415ffffffffff,8.0,0.0,0.0
824167fffffffff,2.0,0.0,0.0
82416ffffffffff,26.0,4.0,0.0
826487fffffffff,387.0,109.0,0.0
826497fffffffff,625.0,251.0,0.0
82649ffffffffff,15.0,14.0,0.0
8264a7fffffffff,25.0,8.0,0.0
8264b7fffffffff,289.0,91.0,0.0
826587fffffffff,151.0,0.0,0.0
82658ffffffffff,77.0,30.0,0.0
826597fffffffff,123.0,0.0,0.0
82659ffffffffff,1449.0,476.0,0.0
8265b7fffffffff,695.0,22.0,42.0
826917fffffffff,6.0,0.0,0.0
