cell_id,Formicivora acutirostris,Formicivora acutirostris acutirostris,Formicivora acutirostris paludicola
83a810fffffffff,36.0,0.0,27.0
83a812fffffffff,429.0,0.0,326.0
83a831fffffffff,5.0,5.0,0.0
