cell_id,Pheucticus chrysopeplus,Pheucticus chrysopeplus chrysopeplus/dilutus,Pheucticus chrysopeplus aurantiacus
834525fffffffff,273.0,0.0,130.0
834800fffffffff,2.0,0.0,0.0
834802fffffffff,25.0,0.0,0.0
834806fffffffff,51.0,0.0,0.0
83480afffffffff,358.0,0.0,0.0
83480efffffffff,2.0,0.0,0.0
834815fffffffff,58.0,0.0,0.0
83481dfffffffff,21.0,0.0,0.0
834833fffffffff,470.0,0.0,0.0
834836fffffffff,745.0,14.0,0.0
8348e4fffffffff,17.0,0.0,0.0
8348e5fffffffff,1.0,0.0,0.0
834986fffffffff,13.0,0.0,0.0
834994fffffffff,17.0,0.0,0.0
8349a8fffffffff,38.0,0.0,0.0
8349a9fffffffff,1024.0,91.0,0.0
8349aafffffffff,3.0,0.0,0.0
8349abfffffffff,6.0,0.0,0.0
8349adfffffffff,19.0,6.0,0.0
8349b0fffffffff,10.0,0.0,0.0
8349b1fffffffff,8.0,0.0,0.0
8349b2fffffffff,16.0,0.0,0.0
8349b3fffffffff,263.0,0.0,0.0
8349b6fffffffff,2.0,0.0,0.0
836d05fffffffff,747.0,0.0,477.0
836d21fffffffff,2.0,0.0,0.0
836d22fffffffff,3.0,0.0,0.0
836d23fffffffff,258.0,0.0,78.0
836d28fffffffff,47.0,0.0,17.0
836d29fffffffff,35.0,0.0,24.0
836d2afffffffff,166.0,0.0,80.0
836d2efffffffff,26.0,0.0,5.0
836d36fffffffff,51.0,11.0,0.0
