cell_id,Fulvetta vinipectus,Fulvetta vinipectus vinipectus/kangrae,Fulvetta vinipectus chumbiensis,Fulvetta vinipectus austeni,Fulvetta vinipectus ripponi,Fulvetta vinipectus bieti/perstriata,Fulvetta vinipectus valentinae
843c00dffffffff,22.0,0.0,0.0,0.0,0.0,0.0,0.0
843c029ffffffff,60.0,0.0,0.0,0.0,0.0,0.0,0.0
843c02bffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
843c02dffffffff,145.0,1.0,0.0,0.0,0.0,0.0,0.0
843c031ffffffff,24.0,0.0,0.0,0.0,0.0,0.0,0.0
843c035ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
843c063ffffffff,67.0,1.0,0.0,0.0,0.0,0.0,0.0
843c067ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
843c069ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
843c06bffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
843c087ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
843c0a1ffffffff,20.0,0.0,0.0,0.0,0.0,0.0,0.0
843c0a3ffffffff,204.0,0.0,0.0,0.0,0.0,0.0,0.0
843c0a5ffffffff,398.0,0.0,0.0,0.0,0.0,0.0,0.0
843c0a7ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
843c0a9ffffffff,283.0,0.0,0.0,0.0,0.0,0.0,0.0
843c0adffffffff,53.0,0.0,0.0,0.0,0.0,0.0,0.0
843c0b3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
843c0b5ffffffff,151.0,0.0,0.0,0.0,0.0,0.0,0.0
843c0b7ffffffff,193.0,0.0,0.0,0.0,0.0,0.0,0.0
843c0bdffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
843c0e7ffffffff,53.0,0.0,0.0,0.0,0.0,0.0,0.0
843c199ffffffff,27.0,0.0,0.0,0.0,0.0,0.0,0.0
843c1d1ffffffff,276.0,0.0,0.0,0.0,0.0,0.0,0.0
843c1d3ffffffff,512.0,0.0,0.0,0.0,0.0,0.0,0.0
843c1d7ffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
843c1dbffffffff,44.0,0.0,0.0,0.0,0.0,0.0,0.0
843c315ffffffff,24.0,0.0,0.0,0.0,0.0,0.0,0.0
843c317ffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
843c33bffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
843c341ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
843c34bffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
843c56dffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
843c595ffffffff,34.0,0.0,0.0,0.0,0.0,0.0,0.0
843cd8bffffffff,126.0,0.0,0.0,0.0,0.0,0.0,0.0
843cd9dffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
843cdd5ffffffff,15.0,0.0,0.0,0.0,0.0,0.0,0.0
843ce43ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
843ce49ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
843ce4bffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
