cell_id,Cisticola textrix,Cisticola textrix [major Group],Cisticola textrix textrix
8496707ffffffff,1.0,0.0,0.0
84972d9ffffffff,1.0,0.0,0.0
84972dbffffffff,1.0,0.0,0.0
84bc899ffffffff,3.0,0.0,0.0
84bc8d3ffffffff,7.0,4.0,0.0
84bcc27ffffffff,2.0,0.0,0.0
84bcc3dffffffff,2.0,0.0,0.0
84bcc6dffffffff,2.0,0.0,0.0
84bcd43ffffffff,1.0,1.0,0.0
84bcdc1ffffffff,6.0,0.0,0.0
84bcdcdffffffff,4.0,2.0,0.0
84bcdebffffffff,2.0,2.0,0.0
84bce25ffffffff,1.0,0.0,0.0
84bce29ffffffff,2.0,2.0,0.0
84bce61ffffffff,6.0,4.0,0.0
84bce63ffffffff,13.0,2.0,0.0
84bce67ffffffff,1.0,1.0,0.0
84bcf03ffffffff,1.0,0.0,0.0
84bcf17ffffffff,1.0,0.0,0.0
84bcf33ffffffff,9.0,9.0,0.0
84bcf3bffffffff,3.0,0.0,0.0
84bcf51ffffffff,1.0,0.0,0.0
84bcf53ffffffff,1.0,0.0,0.0
84bcf5bffffffff,1.0,0.0,0.0
