cell_id,Pyrocephalus nanus,Pyrocephalus nanus nanus,Pyrocephalus nanus dubius
836c58fffffffff,2.0,1.0,0.0
836c59fffffffff,33.0,6.0,0.0
836c5afffffffff,7.0,2.0,0.0
836c5bfffffffff,437.0,204.0,0.0
