cell_id,Alophoixus ruficrissus,Alophoixus ruficrissus ruficrissus/fowleri,Alophoixus ruficrissus meratusensis
836802fffffffff,6.0,0.0,0.0
836811fffffffff,985.0,0.0,0.0
836812fffffffff,45.0,0.0,0.0
836813fffffffff,1.0,0.0,0.0
836818fffffffff,4.0,0.0,0.0
83681afffffffff,8.0,0.0,0.0
8368acfffffffff,23.0,0.0,0.0
