cell_id,Megascops guatemalae,Megascops guatemalae [guatemalae Group],Megascops guatemalae vermiculatus
83450afffffffff,7.0,0.0,0.0
834523fffffffff,2.0,0.0,0.0
834525fffffffff,24.0,14.0,0.0
834528fffffffff,1.0,1.0,0.0
83452afffffffff,18.0,5.0,0.0
83452cfffffffff,9.0,0.0,0.0
83452efffffffff,39.0,3.0,0.0
834996fffffffff,1.0,0.0,0.0
83499cfffffffff,1.0,0.0,0.0
8349b0fffffffff,3.0,0.0,0.0
8349b5fffffffff,2.0,0.0,0.0
8366b4fffffffff,7.0,0.0,0.0
836796fffffffff,5.0,0.0,0.0
83679afffffffff,11.0,1.0,6.0
836d21fffffffff,2.0,2.0,0.0
836d2dfffffffff,23.0,11.0,0.0
836d30fffffffff,2.0,2.0,0.0
836d33fffffffff,4.0,0.0,0.0
836d36fffffffff,1.0,1.0,0.0
836d64fffffffff,1.0,0.0,0.0
836d69fffffffff,44.0,0.0,4.0
836d6bfffffffff,1.0,0.0,0.0
836d6dfffffffff,2.0,0.0,0.0
