cell_id,Passer domesticus,Passer domesticus [domesticus Group],Passer domesticus [indicus Group]
820127fffffffff,57.0,0.0,0.0
820137fffffffff,713.0,0.0,0.0
8204cffffffffff,18.0,0.0,0.0
8204effffffffff,11.0,0.0,0.0
820807fffffffff,51.0,0.0,0.0
820817fffffffff,302.0,0.0,0.0
82081ffffffffff,3.0,0.0,0.0
82082ffffffffff,4.0,0.0,0.0
820837fffffffff,71.0,0.0,0.0
820887fffffffff,442.0,1.0,0.0
82088ffffffffff,30.0,0.0,0.0
820897fffffffff,37.0,0.0,0.0
82089ffffffffff,1331.0,35.0,0.0
8208a7fffffffff,34.0,0.0,0.0
8208affffffffff,8.0,0.0,0.0
8208b7fffffffff,86.0,0.0,0.0
8208c7fffffffff,21.0,0.0,0.0
8208cffffffffff,193.0,0.0,0.0
8208d7fffffffff,56.0,0.0,0.0
8208dffffffffff,47.0,0.0,0.0
8208e7fffffffff,1.0,0.0,0.0
8208effffffffff,112.0,0.0,0.0
8208f7fffffffff,4.0,0.0,0.0
820937fffffffff,12.0,0.0,0.0
82094ffffffffff,18.0,0.0,0.0
82095ffffffffff,53.0,0.0,0.0
820987fffffffff,298.0,0.0,0.0
82098ffffffffff,109.0,0.0,0.0
820997fffffffff,271.0,0.0,0.0
82099ffffffffff,449.0,0.0,0.0
8209a7fffffffff,799.0,0.0,0.0
8209affffffffff,14.0,0.0,0.0
820a37fffffffff,2.0,0.0,0.0
820b97fffffffff,1.0,0.0,0.0
820b9ffffffffff,9.0,0.0,0.0
820bb7fffffffff,26.0,0.0,0.0
820e5ffffffffff,18.0,0.0,0.0
820e87fffffffff,903.0,0.0,0.0
820e9ffffffffff,2.0,0.0,0.0
820ecffffffffff,129.0,0.0,0.0
820edffffffffff,3.0,0.0,0.0
821017fffffffff,6.0,0.0,0.0
821037fffffffff,2.0,0.0,0.0
821087fffffffff,1.0,0.0,0.0
82108ffffffffff,2.0,0.0,0.0
821097fffffffff,2.0,0.0,0.0
82109ffffffffff,2.0,0.0,0.0
8210a7fffffffff,6.0,0.0,0.0
8210affffffffff,6.0,0.0,0.0
8210b7fffffffff,2.0,0.0,0.0
8210c7fffffffff,136.0,0.0,0.0
8210d7fffffffff,5.0,0.0,0.0
8210dffffffffff,2.0,0.0,0.0
8210f7fffffffff,7.0,5.0,0.0
821107fffffffff,399.0,0.0,0.0
821117fffffffff,26.0,0.0,0.0
821127fffffffff,55.0,0.0,0.0
82112ffffffffff,20.0,0.0,0.0
821137fffffffff,30.0,0.0,0.0
821157fffffffff,3.0,0.0,0.0
821167fffffffff,9.0,0.0,0.0
821177fffffffff,1.0,0.0,0.0
821187fffffffff,57.0,0.0,0.0
82118ffffffffff,106.0,0.0,0.0
821197fffffffff,3.0,0.0,0.0
82119ffffffffff,11.0,0.0,0.0
8211a7fffffffff,14.0,0.0,0.0
8211affffffffff,449.0,0.0,0.0
8211b7fffffffff,6.0,0.0,0.0
821207fffffffff,2.0,0.0,0.0
82120ffffffffff,4.0,0.0,0.0
821217fffffffff,7.0,0.0,0.0
82121ffffffffff,210.0,0.0,0.0
821227fffffffff,5.0,0.0,0.0
82124ffffffffff,65.0,0.0,0.0
821257fffffffff,612.0,0.0,0.0
82125ffffffffff,2657.0,0.0,0.0
82126ffffffffff,10.0,0.0,0.0
821277fffffffff,149.0,0.0,0.0
821287fffffffff,105.0,0.0,0.0
82128ffffffffff,66.0,0.0,0.0
82129ffffffffff,35.0,0.0,0.0
8212affffffffff,332.0,0.0,0.0
8212b7fffffffff,19.0,0.0,0.0
8212c7fffffffff,1054.0,0.0,0.0
8212cffffffffff,17451.0,0.0,0.0
8212d7fffffffff,4311.0,0.0,0.0
8212dffffffffff,4342.0,0.0,0.0
8212e7fffffffff,370.0,0.0,0.0
8212effffffffff,13300.0,0.0,0.0
8212f7fffffffff,239.0,0.0,0.0
821357fffffffff,111.0,0.0,0.0
821437fffffffff,2.0,0.0,0.0
82144ffffffffff,2.0,0.0,0.0
82155ffffffffff,6.0,0.0,0.0
82158ffffffffff,3.0,0.0,0.0
821597fffffffff,9.0,0.0,0.0
82159ffffffffff,7.0,0.0,0.0
8215b7fffffffff,4.0,0.0,0.0
821617fffffffff,9.0,0.0,0.0
82176ffffffffff,14.0,0.0,0.0
821807fffffffff,227.0,0.0,0.0
82180ffffffffff,67.0,0.0,0.0
821827fffffffff,216.0,0.0,0.0
82182ffffffffff,1820.0,0.0,0.0
821847fffffffff,441.0,0.0,0.0
82184ffffffffff,11209.0,0.0,0.0
82185ffffffffff,2634.0,0.0,0.0
821867fffffffff,511.0,0.0,0.0
82186ffffffffff,755.0,0.0,0.0
821877fffffffff,1154.0,0.0,0.0
821907fffffffff,27.0,0.0,0.0
82190ffffffffff,1664.0,2.0,0.0
821927fffffffff,174.0,0.0,0.0
82192ffffffffff,665.0,1.0,0.0
821947fffffffff,7604.0,2.0,0.0
82194ffffffffff,8980.0,0.0,0.0
821957fffffffff,2474.0,0.0,0.0
82195ffffffffff,5963.0,0.0,0.0
82196ffffffffff,3171.0,0.0,0.0
821977fffffffff,1821.0,0.0,0.0
821aa7fffffffff,1275.0,0.0,0.0
821ab7fffffffff,46.0,0.0,0.0
821b87fffffffff,20.0,0.0,0.0
821b8ffffffffff,4.0,0.0,0.0
821b97fffffffff,2.0,0.0,0.0
821b9ffffffffff,427.0,0.0,0.0
821e07fffffffff,2355.0,1.0,0.0
821e0ffffffffff,1750.0,0.0,0.0
821e17fffffffff,1333.0,2.0,0.0
821e1ffffffffff,1720.0,1.0,0.0
821e27fffffffff,650.0,0.0,0.0
821e2ffffffffff,381.0,0.0,0.0
821e37fffffffff,2556.0,1.0,0.0
821e47fffffffff,117.0,0.0,0.0
821e4ffffffffff,59.0,0.0,0.0
821e57fffffffff,348.0,0.0,0.0
821e5ffffffffff,634.0,0.0,0.0
821e67fffffffff,174.0,0.0,0.0
821e6ffffffffff,112.0,0.0,0.0
821e77fffffffff,67.0,0.0,0.0
821ea7fffffffff,282.0,0.0,0.0
821eaffffffffff,382.0,0.0,0.0
821ec7fffffffff,2449.0,0.0,0.0
821ecffffffffff,4697.0,9.0,0.0
821ed7fffffffff,1106.0,0.0,0.0
821edffffffffff,3024.0,1.0,0.0
821ee7fffffffff,216.0,0.0,0.0
821eeffffffffff,658.0,0.0,0.0
821ef7fffffffff,603.0,0.0,0.0
821f07fffffffff,965.0,39.0,0.0
821f0ffffffffff,264.0,0.0,0.0
821f17fffffffff,1225.0,0.0,0.0
821f1ffffffffff,1817.0,0.0,0.0
821f27fffffffff,251.0,11.0,0.0
821f2ffffffffff,1192.0,345.0,0.0
821f37fffffffff,782.0,21.0,0.0
821f47fffffffff,66.0,0.0,0.0
821f4ffffffffff,117.0,0.0,0.0
821f57fffffffff,439.0,0.0,0.0
821f5ffffffffff,173.0,0.0,0.0
821f67fffffffff,106.0,0.0,0.0
821f6ffffffffff,16.0,0.0,0.0
821f77fffffffff,997.0,0.0,0.0
821f87fffffffff,4975.0,0.0,0.0
821f8ffffffffff,2116.0,0.0,0.0
821f97fffffffff,984.0,0.0,0.0
821f9ffffffffff,812.0,0.0,0.0
821fa7fffffffff,1310.0,0.0,0.0
821faffffffffff,2756.0,0.0,0.0
821fb7fffffffff,1335.0,0.0,0.0
82200ffffffffff,25.0,0.0,0.0
822017fffffffff,60.0,0.0,0.0
82201ffffffffff,132.0,0.0,0.0
822037fffffffff,4.0,0.0,0.0
82204ffffffffff,35.0,0.0,0.0
82205ffffffffff,30.0,0.0,0.0
82206ffffffffff,17.0,0.0,0.0
822087fffffffff,40.0,0.0,0.0
82208ffffffffff,9.0,0.0,0.0
82209ffffffffff,249.0,0.0,0.0
8220a7fffffffff,88.0,0.0,1.0
8220affffffffff,9.0,0.0,0.0
8220b7fffffffff,11.0,0.0,0.0
8220c7fffffffff,2.0,0.0,0.0
8220e7fffffffff,120.0,0.0,0.0
8220effffffffff,16.0,0.0,0.0
8220f7fffffffff,10.0,0.0,0.0
822107fffffffff,7.0,0.0,0.0
82210ffffffffff,1.0,0.0,0.0
822127fffffffff,3.0,0.0,0.0
82212ffffffffff,3.0,0.0,0.0
822147fffffffff,2.0,0.0,0.0
82214ffffffffff,3.0,0.0,0.0
822157fffffffff,87.0,0.0,0.0
822187fffffffff,18.0,0.0,2.0
82218ffffffffff,15.0,0.0,0.0
82219ffffffffff,76.0,0.0,3.0
8221a7fffffffff,2.0,0.0,0.0
822407fffffffff,20.0,0.0,0.0
82240ffffffffff,12.0,0.0,0.0
82241ffffffffff,1.0,0.0,0.0
822427fffffffff,12.0,0.0,0.0
82242ffffffffff,60.0,0.0,0.0
