cell_id,Cacicus chrysonotus,Cacicus chrysonotus leucoramphus/peruvianus,Cacicus chrysonotus chrysonotus
84660ddffffffff,1.0,0.0,0.0
84661bbffffffff,2.0,0.0,0.0
8466c0dffffffff,1.0,0.0,0.0
8466d15ffffffff,3.0,0.0,0.0
8466d31ffffffff,5.0,0.0,0.0
8466d3bffffffff,6.0,0.0,0.0
8466dedffffffff,4.0,4.0,0.0
8466e61ffffffff,6.0,0.0,0.0
8466e65ffffffff,2.0,2.0,0.0
8466e6dffffffff,2.0,2.0,0.0
848b205ffffffff,1.0,0.0,0.0
848b617ffffffff,6.0,0.0,6.0
848e6d9ffffffff,5.0,0.0,0.0
848e6ddffffffff,3.0,0.0,0.0
848f553ffffffff,3.0,3.0,0.0
848f721ffffffff,2.0,2.0,0.0
848f733ffffffff,3.0,3.0,0.0
848f767ffffffff,5.0,0.0,0.0
