cell_id,Euphonia laniirostris,Euphonia laniirostris melanura/crassirostris,Euphonia laniirostris [laniirostris Group]
845f483ffffffff,5.0,0.0,0.0
845f487ffffffff,6.0,0.0,0.0
845f491ffffffff,6.0,0.0,0.0
845f49bffffffff,2.0,0.0,0.0
845f4a3ffffffff,2.0,0.0,0.0
845f4a7ffffffff,9.0,0.0,0.0
845f4a9ffffffff,9.0,0.0,0.0
845f4abffffffff,3.0,0.0,0.0
845f4b9ffffffff,6.0,0.0,0.0
845f4bdffffffff,14.0,0.0,0.0
8466005ffffffff,11.0,0.0,0.0
8466007ffffffff,1.0,0.0,0.0
8466009ffffffff,2.0,0.0,0.0
846600dffffffff,2.0,0.0,0.0
8466013ffffffff,2.0,0.0,0.0
8466017ffffffff,2.0,0.0,0.0
846601bffffffff,70.0,2.0,0.0
8466021ffffffff,113.0,0.0,0.0
8466023ffffffff,16.0,0.0,0.0
8466025ffffffff,18.0,0.0,0.0
8466027ffffffff,30.0,0.0,0.0
8466029ffffffff,17.0,0.0,0.0
846602bffffffff,6.0,0.0,0.0
846602dffffffff,4.0,0.0,0.0
8466033ffffffff,2.0,0.0,0.0
8466035ffffffff,9.0,0.0,0.0
846603dffffffff,2.0,0.0,0.0
8466045ffffffff,63.0,0.0,0.0
8466047ffffffff,8.0,0.0,0.0
8466057ffffffff,2.0,0.0,0.0
8466063ffffffff,1.0,0.0,0.0
8466067ffffffff,14.0,0.0,0.0
846606bffffffff,9.0,0.0,0.0
8466081ffffffff,210.0,0.0,0.0
8466083ffffffff,7.0,0.0,0.0
8466085ffffffff,13.0,0.0,0.0
8466087ffffffff,217.0,0.0,0.0
8466089ffffffff,659.0,7.0,0.0
846608bffffffff,7.0,0.0,0.0
846608dffffffff,1526.0,30.0,0.0
8466091ffffffff,2.0,0.0,0.0
8466095ffffffff,4.0,0.0,0.0
8466097ffffffff,44.0,0.0,0.0
8466099ffffffff,10.0,0.0,0.0
84660a1ffffffff,16.0,0.0,0.0
84660a3ffffffff,6.0,0.0,0.0
84660a5ffffffff,53.0,0.0,0.0
84660a7ffffffff,714.0,23.0,0.0
84660a9ffffffff,6.0,0.0,0.0
84660abffffffff,6.0,0.0,0.0
84660adffffffff,56.0,0.0,0.0
84660b1ffffffff,3.0,0.0,0.0
84660b3ffffffff,25.0,0.0,0.0
84660b5ffffffff,9.0,0.0,0.0
84660b7ffffffff,8.0,0.0,0.0
84660b9ffffffff,43.0,0.0,0.0
84660bbffffffff,6.0,0.0,0.0
84660bdffffffff,156.0,0.0,0.0
84660c1ffffffff,48.0,2.0,0.0
84660c3ffffffff,30.0,0.0,0.0
84660c5ffffffff,21.0,0.0,0.0
84660c7ffffffff,119.0,0.0,0.0
84660c9ffffffff,4.0,0.0,0.0
84660cbffffffff,142.0,3.0,0.0
84660cdffffffff,5.0,0.0,0.0
84660d1ffffffff,19.0,0.0,0.0
84660d3ffffffff,7.0,0.0,0.0
84660d9ffffffff,7.0,0.0,0.0
84660dbffffffff,3.0,0.0,0.0
84660ddffffffff,37.0,0.0,0.0
84660e1ffffffff,47.0,0.0,0.0
