cell_id,Colaptes melanochloros,Colaptes melanochloros melanochloros/nattereri,Colaptes melanochloros [melanolaimus Group]
828137fffffffff,2.0,2.0,0.0
828b27fffffffff,15.0,0.0,14.0
828b2ffffffffff,9.0,0.0,9.0
82a817fffffffff,1.0,0.0,0.0
82a8affffffffff,1.0,0.0,0.0
82a92ffffffffff,2.0,0.0,0.0
82a947fffffffff,1.0,0.0,1.0
82a957fffffffff,4.0,1.0,2.0
82a967fffffffff,129.0,5.0,21.0
82a96ffffffffff,64.0,0.0,0.0
82b24ffffffffff,1068.0,0.0,0.0
82b25ffffffffff,2.0,0.0,1.0
82b267fffffffff,9.0,0.0,0.0
82b26ffffffffff,350.0,0.0,0.0
82b277fffffffff,2.0,0.0,0.0
82b32ffffffffff,2.0,0.0,2.0
82b35ffffffffff,5.0,0.0,4.0
82c21ffffffffff,1.0,0.0,1.0
82c2c7fffffffff,6.0,1.0,5.0
82c2cffffffffff,489.0,0.0,3.0
82c2e7fffffffff,8.0,0.0,2.0
82c2effffffffff,57.0,0.0,0.0
82c2f7fffffffff,1.0,0.0,0.0
82c34ffffffffff,5.0,0.0,0.0
82ce97fffffffff,5.0,0.0,0.0
