cell_id,Colaptes rupicola,Colaptes rupicola cinereicapillus,Colaptes rupicola rupicola/puna
828b27fffffffff,90.0,0.0,7.0
828b2ffffffffff,129.0,0.0,1.0
828b67fffffffff,1967.0,0.0,74.0
828b6ffffffffff,457.0,0.0,9.0
828e67fffffffff,830.0,0.0,0.0
828e6ffffffffff,433.0,0.0,4.0
828f47fffffffff,38.0,2.0,0.0
828f4ffffffffff,8.0,0.0,0.0
828f57fffffffff,809.0,10.0,0.0
828f5ffffffffff,415.0,5.0,0.0
828f77fffffffff,8.0,0.0,0.0
82b277fffffffff,27.0,0.0,0.0
82b307fffffffff,652.0,0.0,2.0
82b30ffffffffff,12.0,0.0,0.0
82b327fffffffff,667.0,0.0,6.0
82b32ffffffffff,74.0,0.0,1.0
82b337fffffffff,159.0,0.0,0.0
82b347fffffffff,59.0,0.0,0.0
82b357fffffffff,241.0,0.0,0.0
82b35ffffffffff,467.0,0.0,0.0
82b377fffffffff,223.0,0.0,0.0
