cell_id,Petroica boodang,Petroica boodang campbelli,Petroica boodang boodang/leggii
82a727fffffffff,117.0,20.0,0.0
82a737fffffffff,17.0,3.0,0.0
82b917fffffffff,226.0,0.0,4.0
82b937fffffffff,2.0,0.0,0.0
82b9a7fffffffff,7.0,0.0,0.0
82be0ffffffffff,695.0,0.0,12.0
82be1ffffffffff,102.0,0.0,0.0
82be2ffffffffff,12.0,0.0,0.0
82be47fffffffff,864.0,0.0,212.0
82be4ffffffffff,129.0,0.0,18.0
82be57fffffffff,6.0,0.0,0.0
82be67fffffffff,1346.0,0.0,138.0
82be6ffffffffff,300.0,0.0,23.0
82be77fffffffff,2176.0,0.0,83.0
82bee7fffffffff,8.0,0.0,0.0
82bef7fffffffff,156.0,0.0,0.0
82bf4ffffffffff,1672.0,0.0,302.0
82bf5ffffffffff,4.0,0.0,2.0
82bf6ffffffffff,451.0,0.0,92.0
82c987fffffffff,319.0,222.0,0.0
82c997fffffffff,1051.0,283.0,0.0
82c99ffffffffff,66.0,12.0,0.0
82c9b7fffffffff,136.0,32.0,0.0
82d897fffffffff,12.0,0.0,2.0
